requirement_id,type,category,priority,owner,linked_epics,evidence_or_test,status,file,owning_context,consumer_contexts
REQ-AIE-003,FUNCIONAL,AIE,P1,ADR-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_03,PENDING,REQ-AIE-003-selecionar-modelpack-por-recommender-deterministico-e-capability-aware.md,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009
REQ-AIE-004,FUNCIONAL,AIE,P1,ADR-051,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_04,PENDING,REQ-AIE-004-limitar-a-escada-neural-por-tentativas-tempo-memoria-device-e-prioridade.md,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009
REQ-AIE-005,NAO_FUNCIONAL,AIE,P1,ADR-038,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_05,PENDING,REQ-AIE-005-reutilizar-somente-checkpoints-e-artifacts-canonicos-com-compatibilidade.md,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009
REQ-AIE-006,NAO_FUNCIONAL,AIE,P1,ADR-051,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_06,PENDING,REQ-AIE-006-manter-ia-opcional-cpu-classic-baseline-funcional-e-indisponibilidade-ex.md,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009
REQ-AIE-007,FUNCIONAL,AIE,P1,ADR-046,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_07,PENDING,REQ-AIE-007-aplicar-sgv-independente-e-consenso-revisao-somente-conforme-risco.md,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009
REQ-AIE-008,FUNCIONAL,AIE,P1,ADR-052,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_08,PENDING,REQ-AIE-008-usar-modelpacks-assinados-pinados-licenciados-opt-in-e-importaveis-offli.md,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009
REQ-AIE-009,FUNCIONAL,AIE,P1,ADR-030,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_09,PENDING,REQ-AIE-009-explicar-elegibilidade-modelo-custo-resultado-e-controles-sem-permitir-b.md,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009
REQ-AIE-010,FUNCIONAL,AIE,P1,ADR-053,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_10,PENDING,REQ-AIE-010-promover-a-escada-por-corpus-shadow-dual-run-canary-gate-multidimensiona.md,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009
REQ-ANC-001,FUNCIONAL,ANC,P0,ADR-049,EPIC-058/EPIC-099,test_distributed_external_anchor_sources_provenance_uncertainty_and_coverage,PENDING,REQ-ANC-001-a-ancoragem-do-componente-combina-fontes-externas-e-gcps-espacialmente-d.md,BC-005,BC-005/BC-008
REQ-ANC-002,FUNCIONAL,ANC,P0,ADR-045,EPIC-024/EPIC-099,test_joint_anchored_per_image_homography_optimization_and_component_split,PENDING,REQ-ANC-002-o-ajuste-ao-mundo-preserva-restricoes-relativas-e-otimiza-homografias-po.md,BC-007,BC-007/BC-008
REQ-ANC-003,FUNCIONAL,ANC,P0,ADR-049,EPIC-024/EPIC-099,test_component_bootstrap_independent_gcps_homography_and_sgv,PENDING,REQ-ANC-003-a-solucao-do-componente-e-somente-bootstrap-cada-imagem-obtem-evidencia.md,BC-007,BC-007/BC-008
REQ-ANC-004,FUNCIONAL,ANC,P1,ADR-049,EPIC-046/EPIC-099,test_partial_anchor_states_subcomponents_and_immutable_artifacts,PENDING,REQ-ANC-004-ancoragem-parcial-divisao-de-subcomponentes-e-produtos-intermediarios-sa.md,BC-013,BC-013/BC-008
REQ-ANC-005,FUNCIONAL,ANC,P1,ADR-049,EPIC-032/EPIC-100,test_multiview_anchor_workspace_source_pixel_provenance_and_refinement,PENDING,REQ-ANC-005-o-workspace-deve-vincular-cada-ancora-criada-no-contexto-do-mosaico-a-im.md,BC-016,BC-016/BC-008
REQ-ANC-006,FUNCIONAL,ANC,P0,ADR-049,EPIC-024/EPIC-100,test_anchor_coverage_conditioning_diversity_marginal_gain_and_stop_rule,PENDING,REQ-ANC-006-a-suficiencia-das-ancoras-deve-considerar-cobertura-condicionamento-dive.md,BC-007,BC-007/BC-008
REQ-ANC-007,FUNCIONAL,ANC,P0,ADR-055,EPIC-024/EPIC-100,test_anchor_uncertainty_robust_weighting_conflict_quarantine_and_split,PENDING,REQ-ANC-007-incerteza-e-conflitos-devem-ser-tipados-robustamente-ponderados-e-audita.md,BC-007,BC-007/BC-008
REQ-ANC-008,FUNCIONAL,ANC,P1,ADR-048,EPIC-066/EPIC-100,test_immutable_anchorset_impact_preview_scoped_reoptimization_and_history,PENDING,REQ-ANC-008-toda-edicao-cria-anchorset-versionado-e-nova-tentativa-explicita-com-pre.md,BC-010,BC-010/BC-008
REQ-ART-001,NAO_FUNCIONAL,ART,P0,ADR-025,EPIC-012/EPIC-026,artifact_lineage_consistency,PENDING,REQ-ART-001-artefatos-possuem-hash-origem-projeto-retencao-e-lineage.md,BC-003,BC-003/BC-013
REQ-ART-002,CONTRATO,ART,P0,ADR-042,EPIC-044/EPIC-046,test_original_immutable_cog_validation,PENDING,REQ-ART-002-o-original-permanece-imutavel-e-todo-raster-operacional-aceito-e-cog-val.md,BC-006,BC-006/BC-013
REQ-ART-003,CONTRATO,ART,P0,ADR-023,EPIC-012/EPIC-046,test_atomic_artifactset_publication_failure_recovery,PENDING,REQ-ART-003-artifactsets-sao-imutaveis-e-publicados-atomicamente-somente-apos-sgv-va.md,BC-003,BC-003/BC-013
REQ-ARTLAYOUT-001,NAO_FUNCIONAL,ARTLAYOUT,P1,ADR-009,EPIC-026/EPIC-039,test_req_artlayout_001,ACCEPTED,REQ-ARTLAYOUT-001-roots-internos-sao-separados-por-funcao-e-durabilidade.md,BC-013,BC-013/BC-014
REQ-ARTLAYOUT-002,NAO_FUNCIONAL,ARTLAYOUT,P1,ADR-012,EPIC-012/EPIC-026,test_req_artlayout_002,ACCEPTED,REQ-ARTLAYOUT-002-objetos-internos-sao-content-addressed-e-vinculados-a-ids-logicos.md,BC-003,BC-003/BC-013
REQ-ARTLAYOUT-003,NAO_FUNCIONAL,ARTLAYOUT,P0,ADR-023,EPIC-026,test_req_artlayout_003,ACCEPTED,REQ-ARTLAYOUT-003-artifactset-e-bundle-diretorio-imutavel.md,BC-013,BC-013
REQ-ARTLAYOUT-004,NAO_FUNCIONAL,ARTLAYOUT,P1,ADR-024,EPIC-026/EPIC-039,test_req_artlayout_004,ACCEPTED,REQ-ARTLAYOUT-004-publicacao-usa-staging-fsync-validacao-e-rename-atomico.md,BC-013,BC-013/BC-014
REQ-ARTLAYOUT-005,NAO_FUNCIONAL,ARTLAYOUT,P1,ADR-024,EPIC-026/EPIC-078,test_req_artlayout_005,ACCEPTED,REQ-ARTLAYOUT-005-sha-256-e-o-checksum-canonico.md,BC-013,BC-013/BC-014
REQ-ARTLAYOUT-006,NAO_FUNCIONAL,ARTLAYOUT,P1,ADR-040,EPIC-026/EPIC-078,test_req_artlayout_006,ACCEPTED,REQ-ARTLAYOUT-006-nomes-e-metadata-internos-sao-sanitizados.md,BC-013,BC-013/BC-014
REQ-ARTLAYOUT-007,NAO_FUNCIONAL,ARTLAYOUT,P1,ADR-023,EPIC-026/EPIC-078,test_req_artlayout_007,ACCEPTED,REQ-ARTLAYOUT-007-execucao-usa-identidade-dedicada-e-impede-escape-do-root.md,BC-013,BC-013/BC-014
REQ-ARTLAYOUT-008,NAO_FUNCIONAL,ARTLAYOUT,P1,ADR-009,EPIC-026/EPIC-039,test_req_artlayout_008,ACCEPTED,REQ-ARTLAYOUT-008-capability-probe-valida-semantica-do-filesystem.md,BC-013,BC-013/BC-014
REQ-ARTLAYOUT-009,NAO_FUNCIONAL,ARTLAYOUT,P1,ADR-023,EPIC-026/EPIC-039,test_req_artlayout_009,ACCEPTED,REQ-ARTLAYOUT-009-scrubbing-e-reconciliacao-detectam-corrupcao-e-orfaos.md,BC-013,BC-013/BC-014
REQ-ARTLAYOUT-010,NAO_FUNCIONAL,ARTLAYOUT,P0,ADR-023,EPIC-004/EPIC-026/EPIC-041,test_req_artlayout_010,ACCEPTED,REQ-ARTLAYOUT-010-serving-ocorre-somente-apos-autorizacao-e-resolucao-segura.md,BC-001,BC-001/BC-013/BC-014
REQ-AUD-001,NAO_FUNCIONAL,AUD,P0,ADR-055,EPIC-011/EPIC-075,test_audit_append_only_digest_and_no_sampling,PENDING,REQ-AUD-001-operacoes-privilegiadas-e-decisoes-humanas-geram-eventos-append-only-sem.md,BC-002,BC-002/BC-014
REQ-AUTH-IMPL-001,CONTRATO,AUTH,P1,ADR-055,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_001,ACCEPTED,REQ-AUTH-IMPL-001-sessoes-sao-server-side-revogaveis-e-auditaveis.md,BC-002,BC-002/BC-014
REQ-AUTH-IMPL-002,CONTRATO,AUTH,P1,ADR-028,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_002,ACCEPTED,REQ-AUTH-IMPL-002-argon2id-e-calibrado-por-bp-003.md,BC-002,BC-002/BC-014
REQ-AUTH-IMPL-003,CONTRATO,AUTH,P0,ADR-031,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_003,ACCEPTED,REQ-AUTH-IMPL-003-csrf-e-request-provenance-sao-obrigatorios-nas-superficies-aplicaveis.md,BC-002,BC-002/BC-014
REQ-AUTH-IMPL-004,CONTRATO,AUTH,P1,ADR-028,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_004,ACCEPTED,REQ-AUTH-IMPL-004-pats-sao-escopados-hash-only-e-revogaveis.md,BC-002,BC-002/BC-014
REQ-AUTH-IMPL-005,CONTRATO,AUTH,P1,ADR-029,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_005,ACCEPTED,REQ-AUTH-IMPL-005-linking-oidc-e-explicito-e-protegido-contra-account-takeover.md,BC-002,BC-002/BC-014
REQ-AUTH-IMPL-006,CONTRATO,AUTH,P0,ADR-028,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_006,ACCEPTED,REQ-AUTH-IMPL-006-autorizacao-e-central-e-aplicada-server-side.md,BC-002,BC-002/BC-014
REQ-AUTH-IMPL-007,CONTRATO,AUTH,P1,ADR-031,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_007,ACCEPTED,REQ-AUTH-IMPL-007-throttling-possui-estado-e-evidencia-observavel.md,BC-002,BC-002/BC-014
REQ-AUTH-IMPL-008,CONTRATO,AUTH,P1,ADR-028,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_008,ACCEPTED,REQ-AUTH-IMPL-008-ciclo-de-sessao-rotacao-e-logout-sao-deterministicos.md,BC-002,BC-002/BC-014
REQ-AUTH-IMPL-009,CONTRATO,AUTH,P1,ADR-055,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_009,ACCEPTED,REQ-AUTH-IMPL-009-recuperacao-administrativa-e-excepcional-auditada-e-segura.md,BC-002,BC-002/BC-014
REQ-AUTH-IMPL-010,CONTRATO,AUTH,P1,ADR-031,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_010,ACCEPTED,REQ-AUTH-IMPL-010-cors-cookies-e-headers-usam-defaults-restritivos.md,BC-002,BC-002/BC-014
REQ-BAT-001,FUNCIONAL,BAT,P0,ADR-039,EPIC-034/EPIC-057,test_independent_components_partial_success_retry_subset,ACCEPTED,REQ-BAT-001-o-lote-suporta-componentes-independentes-e-sucesso-parcial-explicito-pre.md,BC-016,BC-016/BC-012
REQ-BEX-001,FUNCIONAL,BEX,P1,ADR-039,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_01,ACCEPTED,REQ-BEX-001-representar-lote-imagem-tentativa-e-work-units-em-hierarquia-explicita.md,BC-001,BC-001/BC-010/BC-016/BC-012
REQ-BEX-002,FUNCIONAL,BEX,P1,ADR-039,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_02,ACCEPTED,REQ-BEX-002-executar-preflight-e-chunking-adaptativo-antes-da-admissao.md,BC-001,BC-001/BC-010/BC-016/BC-012
REQ-BEX-003,FUNCIONAL,BEX,P1,ADR-046,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_03,ACCEPTED,REQ-BEX-003-preservar-veredito-por-imagem-e-estado-agregado-de-sucesso-parcial.md,BC-001,BC-001/BC-010/BC-016/BC-012
REQ-BEX-004,FUNCIONAL,BEX,P1,ADR-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_04,ACCEPTED,REQ-BEX-004-aplicar-classes-fairness-aging-e-overrides-auditados.md,BC-001,BC-001/BC-010/BC-016/BC-012
REQ-BEX-005,FUNCIONAL,BEX,P1,ADR-038,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_05,ACCEPTED,REQ-BEX-005-separar-retry-tecnico-de-nova-tentativa-algoritmica-versionada.md,BC-001,BC-001/BC-010/BC-016/BC-012
REQ-BEX-006,FUNCIONAL,BEX,P1,ADR-038,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_06,ACCEPTED,REQ-BEX-006-persistir-checkpoints-canonicos-por-estagio-imagem-e-tentativa.md,BC-001,BC-001/BC-010/BC-016/BC-012
REQ-BEX-007,FUNCIONAL,BEX,P1,ADR-038,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_07,ACCEPTED,REQ-BEX-007-permitir-cancelamento-e-pausa-cooperativos-e-escopados.md,BC-001,BC-001/BC-010/BC-016/BC-012
REQ-BEX-008,FUNCIONAL,BEX,P1,ADR-037,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_08,ACCEPTED,REQ-BEX-008-governar-concorrencia-por-recursos-leases-e-backpressure.md,BC-001,BC-001/BC-010/BC-016/BC-012
REQ-BEX-009,FUNCIONAL,BEX,P1,ADR-040,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_09,ACCEPTED,REQ-BEX-009-calcular-progresso-por-work-units-e-eta-com-confianca.md,BC-001,BC-001/BC-010/BC-016/BC-012
REQ-BEX-010,FUNCIONAL,BEX,P1,ADR-039,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_10,ACCEPTED,REQ-BEX-010-promover-lote-por-escada-de-escala-fault-injection-e-invariantes-multidi.md,BC-001,BC-001/BC-010/BC-016/BC-012
REQ-BKP-001,NAO_FUNCIONAL,BKP,P0,ADR-018,EPIC-049/EPIC-071,test_backupset_consistency_manifest_external_roots,PENDING,REQ-BKP-001-backupsets-coordenam-postgresql-artefatos-gerenciados-manifests-checksum.md,BC-013,BC-013
REQ-BKP-002,NAO_FUNCIONAL,BKP,P0,ADR-025,EPIC-071/EPIC-072,test_isolated_restore_drill_integrity_rpo_rto,PENDING,REQ-BKP-002-restore-drills-automatizados-e-isolados-validam-integridade-lineage-form.md,BC-013,BC-013/BC-014
REQ-CAC-001,FUNCIONAL,CAC,P1,ADR-047,EPIC-049/EPIC-061,test_content_addressed_cache_license_retention_lineage_gc,PENDING,REQ-CAC-001-cache-externo-e-enderecado-por-conteudo-deduplicado-governado-por-licenc.md,BC-013,BC-013
REQ-CAT-001,FUNCIONAL,CAT,P1,ADR-025,EPIC-012/EPIC-034,test_catalog_190k_metadata_pagination_search,PENDING,REQ-CAT-001-o-catalogo-acumulado-permanece-pesquisavel-e-paginavel-em-acervos-da-ord.md,BC-003,BC-003/BC-016
REQ-CIT-001,GOVERNANCA,CIT,P1,ADR-037,EPIC-007/EPIC-042,citation_cff_validation,PENDING,REQ-CIT-001-releases-publicas-fornecem-metadados-e-instrucoes-de-citacao.md,BC-001,BC-001/BC-015
REQ-CLASSICPROFILE-001,NAO_FUNCIONAL,CLASSICPROFILE,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_001,ACCEPTED,REQ-CLASSICPROFILE-001-preparacao-fotometrica-e-governada-por-profile.md,BC-001,BC-001/BC-005/BC-007
REQ-CLASSICPROFILE-002,NAO_FUNCIONAL,CLASSICPROFILE,P1,ADR-025,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_002,ACCEPTED,REQ-CLASSICPROFILE-002-piramide-coarse-to-fine-e-tiles-preservam-lineage-de-coordenadas.md,BC-001,BC-001/BC-005/BC-007
REQ-CLASSICPROFILE-003,NAO_FUNCIONAL,CLASSICPROFILE,P1,ADR-039,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_003,ACCEPTED,REQ-CLASSICPROFILE-003-quotas-espaciais-sao-adaptativas-e-redistribuiveis.md,BC-001,BC-001/BC-005/BC-007
REQ-CLASSICPROFILE-004,NAO_FUNCIONAL,CLASSICPROFILE,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_004,ACCEPTED,REQ-CLASSICPROFILE-004-rootsift-float32-e-canonico-e-versionado.md,BC-001,BC-001/BC-005/BC-007
REQ-CLASSICPROFILE-005,NAO_FUNCIONAL,CLASSICPROFILE,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_005,ACCEPTED,REQ-CLASSICPROFILE-005-flann-possui-piso-de-recall-contra-bf.md,BC-001,BC-001/BC-005/BC-007
REQ-CLASSICPROFILE-006,NAO_FUNCIONAL,CLASSICPROFILE,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_006,ACCEPTED,REQ-CLASSICPROFILE-006-ratio-reverse-matching-mutual-consistency-e-unicidade-sao-explicitos.md,BC-001,BC-001/BC-005/BC-007
REQ-CLASSICPROFILE-007,NAO_FUNCIONAL,CLASSICPROFILE,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_007,ACCEPTED,REQ-CLASSICPROFILE-007-analysis-mask-e-obrigatoria-e-priors-sao-suaves.md,BC-001,BC-001/BC-005/BC-007
REQ-CLASSICPROFILE-008,NAO_FUNCIONAL,CLASSICPROFILE,P1,ADR-045,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_008,ACCEPTED,REQ-CLASSICPROFILE-008-poda-pre-homografia-e-deterministica-e-preserva-coverage.md,BC-001,BC-001/BC-005/BC-007
REQ-CLASSICPROFILE-009,NAO_FUNCIONAL,CLASSICPROFILE,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_009,ACCEPTED,REQ-CLASSICPROFILE-009-calibracao-usa-gate-multidimensional.md,BC-001,BC-001/BC-005/BC-007
REQ-CLASSICPROFILE-010,NAO_FUNCIONAL,CLASSICPROFILE,P0,ADR-044,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_010,ACCEPTED,REQ-CLASSICPROFILE-010-classicalmatchingprofile-e-imutavel-promovido-por-shadow-canary-e-revers.md,BC-001,BC-001/BC-005/BC-007
REQ-CRS-001,CONTRATO,CRS,P0,ADR-041,EPIC-063/EPIC-093,test_pixel_reference_target_discovery_coordinate_roundtrip,PENDING,REQ-CRS-001-o-dominio-separa-pixel-origem-referencia-crs-metrico-de-trabalho-alvo-de.md,BC-011,BC-011/BC-006
REQ-CRS-002,CONTRATO,CRS,P0,ADR-041,EPIC-004/EPIC-093,test_explicit_axis_order_and_adapter_normalization,PENDING,REQ-CRS-002-toda-coordenada-fora-de-espaco-fechado-possui-crs-e-convencao-de-eixos-e.md,BC-001,BC-001/BC-006
REQ-CRS-003,CONTRATO,CRS,P0,ADR-041,EPIC-024/EPIC-093,test_units_precision_tolerance_and_no_premature_rounding,PENDING,REQ-CRS-003-calculos-usam-dupla-precisao-e-toda-tolerancia-declara-espaco-unidade-e.md,BC-007,BC-007/BC-006
REQ-CRS-004,CONTRATO,CRS,P0,ADR-041,EPIC-093/EPIC-096,test_aoi_aware_working_crs_selection_distortion_and_explanation,PENDING,REQ-CRS-004-a-selecao-do-workingmetriccrs-e-do-targetcrs-deve-ser-explicavel-validad.md,BC-006,BC-006
REQ-CRS-005,CONTRATO,CRS,P0,ADR-041,EPIC-058/EPIC-096,test_reference_crs_fail_closed_metadata_area_operation_roundtrip,PENDING,REQ-CRS-005-referencias-com-crs-ausente-ambiguo-incompativel-ou-implausivel-falham-d.md,BC-005,BC-005/BC-006
REQ-CRS-006,CONTRATO,CRS,P1,ADR-025,EPIC-044/EPIC-096,test_technical_canonical_output_and_optional_web_derivative_lineage,PENDING,REQ-CRS-006-a-saida-tecnica-canonica-preserva-crs-e-lineage-derivados-web-opcionais.md,BC-006,BC-006
REQ-CRS-007,CONTRATO,CRS,P1,ADR-034,EPIC-058/EPIC-096,test_web_service_capability_crs_negotiation_and_actual_response_validation,PENDING,REQ-CRS-007-servicos-web-negociam-somente-crs-suportados-e-validam-o-crs-efetivament.md,BC-005,BC-005/BC-006
REQ-DBSCHEMA-001,CONTRATO,DBSCHEMA,P1,ADR-019,EPIC-012/EPIC-013,test_req_dbschema_001,ACCEPTED,REQ-DBSCHEMA-001-schemas-fisicos-e-ownership-sao-explicitos.md,BC-003,BC-003/BC-013
