task_id,story_id,issue_id,sprint_id,bounded_context,specifications,status
TASK-0036,STORY-0036,ISSUE-0146,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0037,STORY-0037,ISSUE-0147,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0038,STORY-0038,ISSUE-0148,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0039,STORY-0039,ISSUE-0149,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0040,STORY-0040,ISSUE-0150,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0041,STORY-0041,ISSUE-0151,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0042,STORY-0042,ISSUE-0152,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0043,STORY-0043,ISSUE-0153,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0044,STORY-0044,ISSUE-0154,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0045,STORY-0045,ISSUE-0155,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0046,STORY-0046,ISSUE-0156,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0047,STORY-0047,ISSUE-0157,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0048,STORY-0048,ISSUE-0158,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0049,STORY-0049,ISSUE-0159,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0050,STORY-0050,ISSUE-0160,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0051,STORY-0051,ISSUE-0161,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0052,STORY-0052,ISSUE-0162,SPRINT-002,BC-002,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0053,STORY-0053,ISSUE-0163,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0054,STORY-0054,ISSUE-0164,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0055,STORY-0055,ISSUE-0165,SPRINT-002,BC-002,SPEC-001/SPEC-004,PASS
TASK-0056,STORY-0056,ISSUE-0166,SPRINT-002,BC-003,SPEC-001/SPEC-004,PASS
TASK-0057,STORY-0057,ISSUE-0167,SPRINT-002,BC-003,SPEC-001/SPEC-004,PASS
TASK-0058,STORY-0058,ISSUE-0168,SPRINT-002,BC-003,SPEC-001/SPEC-004,PASS
TASK-0059,STORY-0059,ISSUE-0169,SPRINT-002,BC-003,SPEC-001/SPEC-004,PASS
TASK-0060,STORY-0060,ISSUE-0170,SPRINT-002,BC-003,SPEC-001/SPEC-004,PASS
TASK-0061,STORY-0061,ISSUE-0171,SPRINT-002,BC-003,SPEC-001/SPEC-004,PASS
TASK-0062,STORY-0062,ISSUE-0172,SPRINT-002,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0063,STORY-0063,ISSUE-0173,SPRINT-002,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0064,STORY-0064,ISSUE-0174,SPRINT-002,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0065,STORY-0065,ISSUE-0175,SPRINT-002,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0066,STORY-0066,ISSUE-0176,SPRINT-002,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0067,STORY-0067,ISSUE-0177,SPRINT-002,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0068,STORY-0068,ISSUE-0178,SPRINT-003,BC-010,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0069,STORY-0069,ISSUE-0179,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0070,STORY-0070,ISSUE-0180,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0071,STORY-0071,ISSUE-0181,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0072,STORY-0072,ISSUE-0182,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0073,STORY-0073,ISSUE-0183,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0074,STORY-0074,ISSUE-0184,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0075,STORY-0075,ISSUE-0185,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0076,STORY-0076,ISSUE-0186,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0077,STORY-0077,ISSUE-0187,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0078,STORY-0078,ISSUE-0188,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0079,STORY-0079,ISSUE-0189,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0080,STORY-0080,ISSUE-0190,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0081,STORY-0081,ISSUE-0191,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0082,STORY-0082,ISSUE-0192,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0083,STORY-0083,ISSUE-0193,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0084,STORY-0084,ISSUE-0194,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0085,STORY-0085,ISSUE-0195,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0086,STORY-0086,ISSUE-0196,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0087,STORY-0087,ISSUE-0197,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0088,STORY-0088,ISSUE-0198,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0089,STORY-0089,ISSUE-0199,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0090,STORY-0090,ISSUE-0200,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0091,STORY-0091,ISSUE-0201,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0092,STORY-0092,ISSUE-0202,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0093,STORY-0093,ISSUE-0203,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0094,STORY-0094,ISSUE-0204,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0095,STORY-0095,ISSUE-0205,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0096,STORY-0096,ISSUE-0206,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0097,STORY-0097,ISSUE-0207,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0098,STORY-0098,ISSUE-0208,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0099,STORY-0099,ISSUE-0209,SPRINT-003,BC-010,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0100,STORY-0100,ISSUE-0210,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0101,STORY-0101,ISSUE-0211,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0102,STORY-0102,ISSUE-0212,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0103,STORY-0103,ISSUE-0213,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0104,STORY-0104,ISSUE-0214,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0105,STORY-0105,ISSUE-0215,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0106,STORY-0106,ISSUE-0216,SPRINT-003,BC-010,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0107,STORY-0107,ISSUE-0217,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0108,STORY-0108,ISSUE-0218,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0109,STORY-0109,ISSUE-0219,SPRINT-003,BC-010,SPEC-001/SPEC-004,PASS
TASK-0110,STORY-0110,ISSUE-0220,SPRINT-003,BC-016,SPEC-001/SPEC-004,PASS
TASK-0111,STORY-0111,ISSUE-0221,SPRINT-003,BC-016,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0112,STORY-0112,ISSUE-0222,SPRINT-003,BC-016,SPEC-001/SPEC-004,PASS
TASK-0113,STORY-0113,ISSUE-0223,SPRINT-003,BC-016,SPEC-001/SPEC-004,PASS
TASK-0114,STORY-0114,ISSUE-0224,SPRINT-003,BC-016,SPEC-001/SPEC-004,PASS
TASK-0115,STORY-0115,ISSUE-0225,SPRINT-005,BC-007,SPEC-001/SPEC-004,PASS
TASK-0116,STORY-0116,ISSUE-0226,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0117,STORY-0117,ISSUE-0227,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0118,STORY-0118,ISSUE-0228,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0119,STORY-0119,ISSUE-0229,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0120,STORY-0120,ISSUE-0230,SPRINT-005,BC-007,SPEC-001/SPEC-004,PASS
TASK-0121,STORY-0121,ISSUE-0231,SPRINT-005,BC-007,SPEC-001/SPEC-004,PASS
TASK-0122,STORY-0122,ISSUE-0232,SPRINT-005,BC-005,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0123,STORY-0123,ISSUE-0233,SPRINT-005,BC-005,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0124,STORY-0124,ISSUE-0234,SPRINT-005,BC-005,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0125,STORY-0125,ISSUE-0235,SPRINT-005,BC-005,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0126,STORY-0126,ISSUE-0236,SPRINT-005,BC-005,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0127,STORY-0127,ISSUE-0237,SPRINT-005,BC-005,SPEC-001/SPEC-004,PASS
TASK-0128,STORY-0128,ISSUE-0238,SPRINT-005,BC-005,SPEC-001/SPEC-004,PASS
TASK-0129,STORY-0129,ISSUE-0239,SPRINT-005,BC-006,SPEC-001/SPEC-004,PASS
TASK-0130,STORY-0130,ISSUE-0240,SPRINT-005,BC-006,SPEC-001/SPEC-003/SPEC-004/SPEC-005,PASS
TASK-0131,STORY-0131,ISSUE-0241,SPRINT-005,BC-006,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0132,STORY-0132,ISSUE-0242,SPRINT-005,BC-006,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0133,STORY-0133,ISSUE-0243,SPRINT-005,BC-006,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0134,STORY-0134,ISSUE-0244,SPRINT-005,BC-006,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0135,STORY-0135,ISSUE-0245,SPRINT-005,BC-006,SPEC-001/SPEC-004,PASS
TASK-0136,STORY-0136,ISSUE-0246,SPRINT-005,BC-007,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0137,STORY-0137,ISSUE-0247,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0138,STORY-0138,ISSUE-0248,SPRINT-005,BC-007,SPEC-001/SPEC-002/SPEC-004/SPEC-005,PASS
TASK-0139,STORY-0139,ISSUE-0249,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0140,STORY-0140,ISSUE-0250,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0141,STORY-0141,ISSUE-0251,SPRINT-005,BC-007,SPEC-001/SPEC-002/SPEC-004/SPEC-005,PASS
TASK-0142,STORY-0142,ISSUE-0252,SPRINT-005,BC-007,SPEC-001/SPEC-004,PASS
TASK-0143,STORY-0143,ISSUE-0253,SPRINT-005,BC-007,SPEC-001/SPEC-004,PASS
TASK-0144,STORY-0144,ISSUE-0254,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0145,STORY-0145,ISSUE-0255,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0146,STORY-0146,ISSUE-0256,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0147,STORY-0147,ISSUE-0257,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0148,STORY-0148,ISSUE-0258,SPRINT-005,BC-007,SPEC-001/SPEC-004,PASS
TASK-0149,STORY-0149,ISSUE-0259,SPRINT-005,BC-007,SPEC-001/SPEC-004,PASS
TASK-0150,STORY-0150,ISSUE-0260,SPRINT-005,BC-013,SPEC-001/SPEC-003/SPEC-004/SPEC-005,PASS
TASK-0151,STORY-0151,ISSUE-0261,SPRINT-005,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0152,STORY-0152,ISSUE-0262,SPRINT-005,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0153,STORY-0153,ISSUE-0263,SPRINT-005,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0154,STORY-0154,ISSUE-0264,SPRINT-005,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0155,STORY-0155,ISSUE-0265,SPRINT-005,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0156,STORY-0156,ISSUE-0266,SPRINT-005,BC-013,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0157,STORY-0157,ISSUE-0267,SPRINT-005,BC-005,SPEC-001/SPEC-004,PASS
TASK-0158,STORY-0158,ISSUE-0268,SPRINT-005,BC-005,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0159,STORY-0159,ISSUE-0269,SPRINT-005,BC-005,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0160,STORY-0160,ISSUE-0270,SPRINT-005,BC-005,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0161,STORY-0161,ISSUE-0271,SPRINT-005,BC-005,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0162,STORY-0162,ISSUE-0272,SPRINT-005,BC-005,SPEC-001/SPEC-004,PASS
TASK-0163,STORY-0163,ISSUE-0273,SPRINT-005,BC-005,SPEC-001/SPEC-004,PASS
TASK-0164,STORY-0164,ISSUE-0274,SPRINT-005,BC-007,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0165,STORY-0165,ISSUE-0275,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0166,STORY-0166,ISSUE-0276,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0167,STORY-0167,ISSUE-0277,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0168,STORY-0168,ISSUE-0278,SPRINT-005,BC-007,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0169,STORY-0169,ISSUE-0279,SPRINT-005,BC-007,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0170,STORY-0170,ISSUE-0280,SPRINT-005,BC-007,SPEC-001/SPEC-004,PASS
TASK-0171,STORY-0171,ISSUE-0281,SPRINT-005,BC-004,SPEC-001/SPEC-004,PASS
TASK-0172,STORY-0172,ISSUE-0282,SPRINT-005,BC-004,SPEC-001/SPEC-003/SPEC-004/SPEC-005,PASS
TASK-0173,STORY-0173,ISSUE-0283,SPRINT-005,BC-004,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0174,STORY-0174,ISSUE-0284,SPRINT-005,BC-004,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0175,STORY-0175,ISSUE-0285,SPRINT-005,BC-004,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0176,STORY-0176,ISSUE-0286,SPRINT-005,BC-004,SPEC-001/SPEC-004,PASS
TASK-0177,STORY-0177,ISSUE-0287,SPRINT-005,BC-004,SPEC-001/SPEC-004,PASS
TASK-0178,STORY-0178,ISSUE-0288,SPRINT-005,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0179,STORY-0179,ISSUE-0289,SPRINT-005,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0180,STORY-0180,ISSUE-0290,SPRINT-005,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0181,STORY-0181,ISSUE-0291,SPRINT-005,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0182,STORY-0182,ISSUE-0292,SPRINT-005,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0183,STORY-0183,ISSUE-0293,SPRINT-005,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0184,STORY-0184,ISSUE-0294,SPRINT-005,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0185,STORY-0185,ISSUE-0295,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0186,STORY-0186,ISSUE-0296,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0187,STORY-0187,ISSUE-0297,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0188,STORY-0188,ISSUE-0298,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0189,STORY-0189,ISSUE-0299,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0190,STORY-0190,ISSUE-0300,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0191,STORY-0191,ISSUE-0301,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0192,STORY-0192,ISSUE-0302,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0193,STORY-0193,ISSUE-0303,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0194,STORY-0194,ISSUE-0304,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0195,STORY-0195,ISSUE-0305,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0196,STORY-0196,ISSUE-0306,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0197,STORY-0197,ISSUE-0307,SPRINT-009,BC-016,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0198,STORY-0198,ISSUE-0308,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0199,STORY-0199,ISSUE-0309,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0200,STORY-0200,ISSUE-0310,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0201,STORY-0201,ISSUE-0311,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0202,STORY-0202,ISSUE-0312,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0203,STORY-0203,ISSUE-0313,SPRINT-009,BC-016,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0204,STORY-0204,ISSUE-0314,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0205,STORY-0205,ISSUE-0315,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0206,STORY-0206,ISSUE-0316,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0207,STORY-0207,ISSUE-0317,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0208,STORY-0208,ISSUE-0318,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0209,STORY-0209,ISSUE-0319,SPRINT-009,BC-011,SPEC-001/SPEC-002/SPEC-004,PASS
TASK-0210,STORY-0210,ISSUE-0320,SPRINT-009,BC-011,SPEC-001/SPEC-002/SPEC-004,PASS
TASK-0211,STORY-0211,ISSUE-0321,SPRINT-009,BC-011,SPEC-001/SPEC-002/SPEC-004,PASS
TASK-0212,STORY-0212,ISSUE-0322,SPRINT-009,BC-011,SPEC-001/SPEC-002/SPEC-004,PASS
TASK-0213,STORY-0213,ISSUE-0323,SPRINT-009,BC-011,SPEC-001/SPEC-002/SPEC-004,PASS
TASK-0214,STORY-0214,ISSUE-0324,SPRINT-009,BC-011,SPEC-001/SPEC-002/SPEC-004,PASS
TASK-0215,STORY-0215,ISSUE-0325,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0216,STORY-0216,ISSUE-0326,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0217,STORY-0217,ISSUE-0327,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0218,STORY-0218,ISSUE-0328,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0219,STORY-0219,ISSUE-0329,SPRINT-009,BC-016,SPEC-001/SPEC-004,PASS
TASK-0220,STORY-0220,ISSUE-0330,SPRINT-010,BC-012,SPEC-001/SPEC-002/SPEC-004/SPEC-005,PASS
TASK-0221,STORY-0221,ISSUE-0331,SPRINT-010,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0222,STORY-0222,ISSUE-0332,SPRINT-010,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0223,STORY-0223,ISSUE-0333,SPRINT-010,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0224,STORY-0224,ISSUE-0334,SPRINT-010,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0225,STORY-0225,ISSUE-0335,SPRINT-010,BC-012,SPEC-001/SPEC-004/SPEC-005,PASS
TASK-0226,STORY-0226,ISSUE-0336,SPRINT-010,BC-007,SPEC-001/SPEC-004,PASS
TASK-0227,STORY-0227,ISSUE-0337,SPRINT-010,BC-007,SPEC-001/SPEC-004,PASS
TASK-0228,STORY-0228,ISSUE-0338,SPRINT-010,BC-007,SPEC-001/SPEC-004,PASS
TASK-0229,STORY-0229,ISSUE-0339,SPRINT-010,BC-007,SPEC-001/SPEC-004,PASS
TASK-0230,STORY-0230,ISSUE-0340,SPRINT-010,BC-007,SPEC-001/SPEC-004,PASS
TASK-0231,STORY-0231,ISSUE-0341,SPRINT-010,BC-007,SPEC-001/SPEC-004,PASS
TASK-0232,STORY-0232,ISSUE-0342,SPRINT-011,BC-014,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0233,STORY-0233,ISSUE-0343,SPRINT-011,BC-014,SPEC-001/SPEC-004,PASS
TASK-0234,STORY-0234,ISSUE-0344,SPRINT-011,BC-014,SPEC-001/SPEC-004,PASS
TASK-0235,STORY-0235,ISSUE-0345,SPRINT-011,BC-014,SPEC-001/SPEC-004,PASS
TASK-0236,STORY-0236,ISSUE-0346,SPRINT-011,BC-014,SPEC-001/SPEC-004,PASS
TASK-0237,STORY-0237,ISSUE-0347,SPRINT-011,BC-014,SPEC-001/SPEC-004,PASS
TASK-0238,STORY-0238,ISSUE-0348,SPRINT-011,BC-014,SPEC-001/SPEC-004,PASS
TASK-0239,STORY-0239,ISSUE-0349,SPRINT-011,BC-014,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0240,STORY-0240,ISSUE-0350,SPRINT-011,BC-014,SPEC-001/SPEC-004,PASS
TASK-0241,STORY-0241,ISSUE-0351,SPRINT-011,BC-014,SPEC-001/SPEC-004,PASS
TASK-0242,STORY-0242,ISSUE-0352,SPRINT-011,BC-014,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0243,STORY-0243,ISSUE-0353,SPRINT-011,BC-014,SPEC-001/SPEC-004,PASS
TASK-0244,STORY-0244,ISSUE-0354,SPRINT-002,BC-014,SPEC-001/SPEC-004,PASS
TASK-0245,STORY-0245,ISSUE-0355,SPRINT-002,BC-014,SPEC-001/SPEC-004,PASS
TASK-0246,STORY-0246,ISSUE-0356,SPRINT-002,BC-014,SPEC-001/SPEC-004,PASS
