requirement_id,adr_id,bounded_context,category,priority,status,rationale
REQ-BAT-001,ADR-039,BC-016,BAT,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BEX-001,ADR-039,BC-001,BEX,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BEX-002,ADR-039,BC-001,BEX,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BEX-003,ADR-046,BC-001,BEX,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BEX-004,ADR-012,BC-001,BEX,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BEX-005,ADR-038,BC-001,BEX,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BEX-006,ADR-038,BC-001,BEX,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BEX-007,ADR-038,BC-001,BEX,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BEX-008,ADR-037,BC-001,BEX,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BEX-009,ADR-040,BC-001,BEX,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BEX-010,ADR-039,BC-001,BEX,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BKP-001,ADR-018,BC-013,BKP,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-BKP-002,ADR-025,BC-013,BKP,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CAC-001,ADR-047,BC-013,CAC,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CAT-001,ADR-025,BC-003,CAT,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CIT-001,ADR-037,BC-001,CIT,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CLASSICPROFILE-001,ADR-044,BC-001,CLASSICPROFILE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CLASSICPROFILE-002,ADR-025,BC-001,CLASSICPROFILE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CLASSICPROFILE-003,ADR-039,BC-001,CLASSICPROFILE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CLASSICPROFILE-004,ADR-044,BC-001,CLASSICPROFILE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CLASSICPROFILE-005,ADR-044,BC-001,CLASSICPROFILE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CLASSICPROFILE-006,ADR-044,BC-001,CLASSICPROFILE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CLASSICPROFILE-007,ADR-044,BC-001,CLASSICPROFILE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CLASSICPROFILE-008,ADR-045,BC-001,CLASSICPROFILE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CLASSICPROFILE-009,ADR-044,BC-001,CLASSICPROFILE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CLASSICPROFILE-010,ADR-044,BC-001,CLASSICPROFILE,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CRS-001,ADR-041,BC-011,CRS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CRS-002,ADR-041,BC-001,CRS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CRS-003,ADR-041,BC-007,CRS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CRS-004,ADR-041,BC-006,CRS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CRS-005,ADR-041,BC-005,CRS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CRS-006,ADR-025,BC-006,CRS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-CRS-007,ADR-034,BC-005,CRS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DBSCHEMA-001,ADR-019,BC-003,DBSCHEMA,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DBSCHEMA-002,ADR-019,BC-001,DBSCHEMA,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DBSCHEMA-003,ADR-043,BC-002,DBSCHEMA,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DBSCHEMA-004,ADR-019,BC-001,DBSCHEMA,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DBSCHEMA-005,ADR-041,BC-003,DBSCHEMA,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DBSCHEMA-006,ADR-019,BC-003,DBSCHEMA,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DBSCHEMA-007,ADR-019,BC-001,DBSCHEMA,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DBSCHEMA-008,ADR-019,BC-001,DBSCHEMA,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DBSCHEMA-009,ADR-020,BC-003,DBSCHEMA,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DBSCHEMA-010,ADR-026,BC-013,DBSCHEMA,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DEL-001,ADR-014,BC-001,DEL,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DEL-002,ADR-057,BC-001,DEL,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DEV-001,ADR-001,BC-001,DEV,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DIS-001,ADR-047,BC-005,DIS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-DIS-002,ADR-047,BC-010,DIS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-001,ADR-002,BC-001,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-012,ADR-026,BC-001,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-014,ADR-016,BC-010,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-015,ADR-018,BC-010,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-016,ADR-038,BC-010,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-017,ADR-038,BC-010,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-018,ADR-038,BC-010,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-021,ADR-055,BC-007,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-031,ADR-013,BC-001,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-035,ADR-046,BC-016,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-037,ADR-002,BC-012,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-038,ADR-002,BC-012,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-039,ADR-027,BC-013,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-041,ADR-002,BC-001,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-042,ADR-002,BC-001,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-043,ADR-037,BC-015,EPIC,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-062,ADR-002,BC-010,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-070,ADR-002,BC-016,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-076,ADR-032,BC-002,EPIC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EPIC-088,ADR-009,BC-009,EPIC,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-EST-001,ADR-045,BC-007,EST,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FRZ-001,ADR-057,BC-001,FRZ,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FRZ-002,ADR-057,BC-001,FRZ,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FRZ-003,ADR-057,BC-001,FRZ,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FRZ-004,ADR-057,BC-001,FRZ,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FS-001,ADR-014,BC-003,FS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FS1-001,ADR-044,BC-001,FS1,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FS1-002,ADR-044,BC-001,FS1,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FS1-003,ADR-040,BC-001,FS1,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FS1-004,ADR-044,BC-001,FS1,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FS1-005,ADR-055,BC-001,FS1,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FS1-006,ADR-045,BC-001,FS1,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FS1-007,ADR-046,BC-001,FS1,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FS1-008,ADR-023,BC-001,FS1,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FS1-009,ADR-015,BC-001,FS1,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-FS1-010,ADR-044,BC-001,FS1,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GC-001,ADR-016,BC-013,GC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GCP-001,ADR-048,BC-007,GCP,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GCP-002,ADR-048,BC-012,GCP,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GOV-001,ADR-043,BC-001,GOV,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GOV-002,ADR-006,BC-001,GOV,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GOV-003,ADR-006,BC-001,GOV,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GOV-004,ADR-007,BC-001,GOV,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GOV-005,ADR-006,BC-001,GOV,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GOV-ADR-002,ADR-006,BC-001,GOV,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GOV-ADR-003,ADR-040,BC-001,GOV,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GOV-ADR-018,ADR-006,BC-001,GOV,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GOV-DEC-001,ADR-006,BC-001,GOV,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-GOV-DEC-002,ADR-006,BC-001,GOV,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-HOM-001,ADR-043,BC-006,HOM,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-HW-001,ADR-037,BC-002,HW,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ID-001,ADR-029,BC-002,ID,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ID-002,ADR-029,BC-002,ID,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-INS-001,ADR-016,BC-015,INS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-INS-002,ADR-034,BC-002,INS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-INS-003,ADR-034,BC-001,INS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-INS-004,ADR-034,BC-014,INS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISM-001,ADR-040,BC-001,ISM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISM-002,ADR-006,BC-001,ISM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISM-003,ADR-006,BC-001,ISM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISM-004,ADR-006,BC-001,ISM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISM-005,ADR-006,BC-001,ISM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISM-006,ADR-016,BC-001,ISM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISM-007,ADR-006,BC-001,ISM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISM-008,ADR-006,BC-001,ISM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISM-009,ADR-006,BC-001,ISM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISM-010,ADR-006,BC-001,ISM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISS-001,ADR-008,BC-001,ISS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISS-002,ADR-008,BC-001,ISS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISS-003,ADR-008,BC-001,ISS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISS-004,ADR-040,BC-001,ISS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISS-006,ADR-016,BC-001,ISS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISS-007,ADR-008,BC-001,ISS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ISS-009,ADR-008,BC-001,ISS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-LOG-001,ADR-032,BC-014,LOG,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MAT-001,ADR-044,BC-010,MAT,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MCH-001,ADR-055,BC-006,MCH,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MET-001,ADR-054,BC-014,MET,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MOS-001,ADR-049,BC-010,MOS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MOS-002,ADR-040,BC-005,MOS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MOS-003,ADR-049,BC-007,MOS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MOS-004,ADR-044,BC-010,MOS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MOS-005,ADR-049,BC-007,MOS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MOS-006,ADR-049,BC-006,MOS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MSK-001,ADR-042,BC-007,MSK,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MSK-002,ADR-040,BC-012,MSK,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MSK-003,ADR-055,BC-016,MSK,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-MTD-001,ADR-040,BC-016,MTD,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NATIVE-001,ADR-042,BC-001,NATIVE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NATIVE-002,ADR-041,BC-001,NATIVE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NATIVE-003,ADR-043,BC-001,NATIVE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NATIVE-004,ADR-042,BC-001,NATIVE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NATIVE-005,ADR-044,BC-001,NATIVE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NATIVE-006,ADR-004,BC-001,NATIVE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NATIVE-007,ADR-043,BC-001,NATIVE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NATIVE-008,ADR-042,BC-001,NATIVE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NATIVE-009,ADR-009,BC-001,NATIVE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NATIVE-010,ADR-043,BC-001,NATIVE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NET-001,ADR-032,BC-014,NET,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-NFR-001,ADR-040,BC-014,NFR,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-OBS-001,ADR-054,BC-014,OBS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-OBS-002,ADR-054,BC-001,OBS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-OFF-001,ADR-052,BC-005,OFF,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-OSS-001,ADR-056,BC-001,OSS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-OUT-001,ADR-042,BC-014,OUT,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PLN-001,ADR-016,BC-001,PLN,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PLN-002,ADR-037,BC-001,PLN,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PLN-003,ADR-016,BC-001,PLN,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PLN-004,ADR-016,BC-001,PLN,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PLN-005,ADR-012,BC-001,PLN,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PLN-006,ADR-016,BC-001,PLN,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PLN-007,ADR-016,BC-001,PLN,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PLN-008,ADR-016,BC-001,PLN,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PLN-009,ADR-038,BC-001,PLN,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PLN-010,ADR-016,BC-001,PLN,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRJ-001,ADR-043,BC-001,PRJ,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRJ-002,ADR-022,BC-001,PRJ,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRJ-003,ADR-022,BC-001,PRJ,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRJ-004,ADR-022,BC-001,PRJ,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRJ-005,ADR-022,BC-001,PRJ,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRJ-006,ADR-022,BC-001,PRJ,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRJ-007,ADR-022,BC-001,PRJ,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRJ-008,ADR-022,BC-001,PRJ,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRJ-009,ADR-022,BC-001,PRJ,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRJ-010,ADR-022,BC-001,PRJ,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRM-001,ADR-053,BC-001,PRM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRM-002,ADR-053,BC-001,PRM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRM-003,ADR-053,BC-001,PRM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRM-004,ADR-050,BC-001,PRM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRM-005,ADR-053,BC-001,PRM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRM-006,ADR-016,BC-001,PRM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRM-007,ADR-053,BC-001,PRM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRM-008,ADR-053,BC-001,PRM,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRM-009,ADR-053,BC-001,PRM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRM-010,ADR-053,BC-001,PRM,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PROV-001,ADR-025,BC-012,PROV,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PRV-001,ADR-055,BC-003,PRV,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PUB-002,ADR-057,BC-001,PUB,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PUB-003,ADR-012,BC-005,PUB,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-PUB-004,ADR-037,BC-015,PUB,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-QUAL-001,ADR-046,BC-007,QUAL,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-QUAL-002,ADR-046,BC-007,QUAL,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-QUAL-003,ADR-046,BC-007,QUAL,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-QUAL-004,ADR-046,BC-007,QUAL,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-QUAL-005,ADR-046,BC-016,QUAL,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-RAS-001,ADR-042,BC-006,RAS,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-RAS-002,ADR-049,BC-006,RAS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-RAS-003,ADR-042,BC-007,RAS,P1,PASS,Owner normativo atômico selecionado pela Fase D.
