requirement_id,owning_context,consumer_contexts,linked_epics,status
REQ-ART-001,BC-003,BC-003/BC-013,EPIC-012/EPIC-026,PASS
REQ-ART-002,BC-006,BC-006/BC-013,EPIC-044/EPIC-046,PASS
REQ-ART-003,BC-003,BC-003/BC-013,EPIC-012/EPIC-046,PASS
REQ-ARTLAYOUT-001,BC-013,BC-013/BC-014,EPIC-026/EPIC-039,PASS
REQ-ARTLAYOUT-002,BC-003,BC-003/BC-013,EPIC-012/EPIC-026,PASS
REQ-ARTLAYOUT-003,BC-013,BC-013,EPIC-026,PASS
REQ-ARTLAYOUT-004,BC-013,BC-013/BC-014,EPIC-026/EPIC-039,PASS
REQ-ARTLAYOUT-005,BC-013,BC-013/BC-014,EPIC-026/EPIC-078,PASS
REQ-ARTLAYOUT-006,BC-013,BC-013/BC-014,EPIC-026/EPIC-078,PASS
REQ-ARTLAYOUT-007,BC-013,BC-013/BC-014,EPIC-026/EPIC-078,PASS
REQ-ARTLAYOUT-008,BC-013,BC-013/BC-014,EPIC-026/EPIC-039,PASS
REQ-ARTLAYOUT-009,BC-013,BC-013/BC-014,EPIC-026/EPIC-039,PASS
REQ-ARTLAYOUT-010,BC-001,BC-001/BC-013/BC-014,EPIC-004/EPIC-026/EPIC-041,PASS
REQ-AUD-001,BC-002,BC-002/BC-014,EPIC-011/EPIC-075,PASS
REQ-AUTH-IMPL-001,BC-002,BC-002/BC-014,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,PASS
REQ-AUTH-IMPL-002,BC-002,BC-002/BC-014,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,PASS
REQ-AUTH-IMPL-003,BC-002,BC-002/BC-014,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,PASS
REQ-AUTH-IMPL-004,BC-002,BC-002/BC-014,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,PASS
REQ-AUTH-IMPL-005,BC-002,BC-002/BC-014,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,PASS
REQ-AUTH-IMPL-006,BC-002,BC-002/BC-014,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,PASS
REQ-AUTH-IMPL-007,BC-002,BC-002/BC-014,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,PASS
REQ-AUTH-IMPL-008,BC-002,BC-002/BC-014,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,PASS
REQ-AUTH-IMPL-009,BC-002,BC-002/BC-014,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,PASS
REQ-AUTH-IMPL-010,BC-002,BC-002/BC-014,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,PASS
REQ-BAT-001,BC-016,BC-016/BC-012,EPIC-034/EPIC-057,PASS
REQ-BEX-001,BC-001,BC-001/BC-010/BC-016/BC-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,PASS
REQ-BEX-002,BC-001,BC-001/BC-010/BC-016/BC-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,PASS
REQ-BEX-003,BC-001,BC-001/BC-010/BC-016/BC-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,PASS
REQ-BEX-004,BC-001,BC-001/BC-010/BC-016/BC-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,PASS
REQ-BEX-005,BC-001,BC-001/BC-010/BC-016/BC-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,PASS
REQ-BEX-006,BC-001,BC-001/BC-010/BC-016/BC-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,PASS
REQ-BEX-007,BC-001,BC-001/BC-010/BC-016/BC-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,PASS
REQ-BEX-008,BC-001,BC-001/BC-010/BC-016/BC-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,PASS
REQ-BEX-009,BC-001,BC-001/BC-010/BC-016/BC-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,PASS
REQ-BEX-010,BC-001,BC-001/BC-010/BC-016/BC-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,PASS
REQ-BKP-001,BC-013,BC-013,EPIC-049/EPIC-071,PASS
REQ-BKP-002,BC-013,BC-013/BC-014,EPIC-071/EPIC-072,PASS
REQ-CAC-001,BC-013,BC-013,EPIC-049/EPIC-061,PASS
REQ-CAT-001,BC-003,BC-003/BC-016,EPIC-012/EPIC-034,PASS
REQ-CIT-001,BC-001,BC-001/BC-015,EPIC-007/EPIC-042,PASS
REQ-CLASSICPROFILE-001,BC-001,BC-001/BC-005/BC-007,EPIC-002/EPIC-022/EPIC-028,PASS
REQ-CLASSICPROFILE-002,BC-001,BC-001/BC-005/BC-007,EPIC-002/EPIC-022/EPIC-028,PASS
REQ-CLASSICPROFILE-003,BC-001,BC-001/BC-005/BC-007,EPIC-002/EPIC-022/EPIC-028,PASS
REQ-CLASSICPROFILE-004,BC-001,BC-001/BC-005/BC-007,EPIC-002/EPIC-022/EPIC-028,PASS
REQ-CLASSICPROFILE-005,BC-001,BC-001/BC-005/BC-007,EPIC-002/EPIC-022/EPIC-028,PASS
REQ-CLASSICPROFILE-006,BC-001,BC-001/BC-005/BC-007,EPIC-002/EPIC-022/EPIC-028,PASS
REQ-CLASSICPROFILE-007,BC-001,BC-001/BC-005/BC-007,EPIC-002/EPIC-022/EPIC-028,PASS
REQ-CLASSICPROFILE-008,BC-001,BC-001/BC-005/BC-007,EPIC-002/EPIC-022/EPIC-028,PASS
REQ-CLASSICPROFILE-009,BC-001,BC-001/BC-005/BC-007,EPIC-002/EPIC-022/EPIC-028,PASS
REQ-CLASSICPROFILE-010,BC-001,BC-001/BC-005/BC-007,EPIC-002/EPIC-022/EPIC-028,PASS
REQ-CRS-001,BC-011,BC-011/BC-006,EPIC-063/EPIC-093,PASS
REQ-CRS-002,BC-001,BC-001/BC-006,EPIC-004/EPIC-093,PASS
REQ-CRS-003,BC-007,BC-007/BC-006,EPIC-024/EPIC-093,PASS
REQ-CRS-004,BC-006,BC-006,EPIC-093/EPIC-096,PASS
REQ-CRS-005,BC-005,BC-005/BC-006,EPIC-058/EPIC-096,PASS
REQ-CRS-006,BC-006,BC-006,EPIC-044/EPIC-096,PASS
REQ-CRS-007,BC-005,BC-005/BC-006,EPIC-058/EPIC-096,PASS
REQ-DBSCHEMA-001,BC-003,BC-003/BC-013,EPIC-012/EPIC-013,PASS
REQ-DBSCHEMA-002,BC-001,BC-001/BC-003,EPIC-004/EPIC-012,PASS
REQ-DBSCHEMA-003,BC-002,BC-002/BC-003,EPIC-008/EPIC-012,PASS
REQ-DBSCHEMA-004,BC-001,BC-001/BC-003,EPIC-004/EPIC-012,PASS
REQ-DBSCHEMA-005,BC-003,BC-003/BC-007,EPIC-012/EPIC-021,PASS
REQ-DBSCHEMA-006,BC-003,BC-003/BC-013,EPIC-012/EPIC-026,PASS
REQ-DBSCHEMA-007,BC-001,BC-001/BC-003,EPIC-004/EPIC-012,PASS
REQ-DBSCHEMA-008,BC-001,BC-001/BC-003/BC-010,EPIC-004/EPIC-012/EPIC-014,PASS
REQ-DBSCHEMA-009,BC-003,BC-003/BC-010,EPIC-012/EPIC-014,PASS
REQ-DBSCHEMA-010,BC-013,BC-013/BC-015,EPIC-013/EPIC-107,PASS
REQ-DEL-001,BC-001,BC-001,EPIC-003/EPIC-086,PASS
REQ-DEL-002,BC-001,BC-001/BC-015,EPIC-086/EPIC-087,PASS
REQ-DEV-001,BC-001,BC-001,EPIC-003/EPIC-092,PASS
REQ-DIS-001,BC-005,BC-005,EPIC-054,PASS
REQ-DIS-002,BC-010,BC-010/BC-005,EPIC-019/EPIC-055,PASS
REQ-EPIC-001,BC-001,BC-001,EPIC-086/EPIC-092,PASS
REQ-EPIC-012,BC-001,BC-001,EPIC-005,PASS
REQ-EPIC-014,BC-010,BC-010,EPIC-014/EPIC-016,PASS
REQ-EPIC-015,BC-010,BC-010,EPIC-015/EPIC-016,PASS
REQ-EPIC-016,BC-010,BC-010/BC-012,EPIC-016/EPIC-030,PASS
REQ-EPIC-017,BC-010,BC-010/BC-013,EPIC-018/EPIC-049,PASS
REQ-EPIC-018,BC-010,BC-010/BC-014,EPIC-016/EPIC-018/EPIC-039,PASS
REQ-EPIC-021,BC-007,BC-007,EPIC-021/EPIC-024,PASS
REQ-EPIC-031,BC-001,BC-001/BC-016,EPIC-004/EPIC-031,PASS
REQ-EPIC-035,BC-016,BC-016/BC-011,EPIC-034/EPIC-035,PASS
REQ-EPIC-037,BC-012,BC-012/BC-016,EPIC-030/EPIC-034/EPIC-037,PASS
REQ-EPIC-038,BC-012,BC-012/BC-016,EPIC-030/EPIC-036,PASS
REQ-EPIC-039,BC-013,BC-013/BC-014,EPIC-013/EPIC-072,PASS
REQ-EPIC-041,BC-001,BC-001/BC-014,EPIC-005/EPIC-041,PASS
REQ-EPIC-042,BC-001,BC-001/BC-015,EPIC-007/EPIC-042/EPIC-080,PASS
REQ-EPIC-043,BC-015,BC-015,EPIC-042/EPIC-085/EPIC-089,PASS
REQ-EPIC-062,BC-010,BC-010/BC-016/BC-011,EPIC-018/EPIC-034/EPIC-062,PASS
REQ-EPIC-070,BC-016,BC-016/BC-012/BC-013,EPIC-034/EPIC-037/EPIC-049,PASS
REQ-EPIC-076,BC-002,BC-002/BC-014,EPIC-008/EPIC-078,PASS
REQ-EPIC-088,BC-009,BC-009,EPIC-050/EPIC-088,PASS
REQ-EST-001,BC-007,BC-007/BC-006,EPIC-024/EPIC-051,PASS
REQ-FRZ-001,BC-001,BC-001,EPIC-001/EPIC-092,PASS
REQ-FRZ-002,BC-001,BC-001,EPIC-005/EPIC-092,PASS
REQ-FRZ-003,BC-001,BC-001,EPIC-091/EPIC-092,PASS
REQ-FRZ-004,BC-001,BC-001,EPIC-001/EPIC-092,PASS
REQ-FS-001,BC-003,BC-003/BC-016/BC-014,EPIC-012/EPIC-031/EPIC-041,PASS
REQ-FS1-001,BC-001,BC-001/BC-010/BC-016/BC-007/BC-005/BC-006/BC-013,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,PASS
REQ-FS1-002,BC-001,BC-001/BC-010/BC-016/BC-007/BC-005/BC-006/BC-013,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,PASS
REQ-FS1-003,BC-001,BC-001/BC-010/BC-016/BC-007/BC-005/BC-006/BC-013,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,PASS
REQ-FS1-004,BC-001,BC-001/BC-010/BC-016/BC-007/BC-005/BC-006/BC-013,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,PASS
REQ-FS1-005,BC-001,BC-001/BC-010/BC-016/BC-007/BC-005/BC-006/BC-013,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,PASS
REQ-FS1-006,BC-001,BC-001/BC-010/BC-016/BC-007/BC-005/BC-006/BC-013,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,PASS
REQ-FS1-007,BC-001,BC-001/BC-010/BC-016/BC-007/BC-005/BC-006/BC-013,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,PASS
REQ-FS1-008,BC-001,BC-001/BC-010/BC-016/BC-007/BC-005/BC-006/BC-013,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,PASS
REQ-FS1-009,BC-001,BC-001/BC-010/BC-016/BC-007/BC-005/BC-006/BC-013,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,PASS
REQ-FS1-010,BC-001,BC-001/BC-010/BC-016/BC-007/BC-005/BC-006/BC-013,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,PASS
REQ-GC-001,BC-013,BC-013,EPIC-073/EPIC-074,PASS
REQ-GCP-001,BC-007,BC-007/BC-006,EPIC-024/EPIC-052,PASS
REQ-GCP-002,BC-012,BC-012/BC-011,EPIC-037/EPIC-063,PASS
REQ-GOV-001,BC-001,BC-001,EPIC-002,PASS
REQ-GOV-002,BC-001,BC-001,EPIC-002/EPIC-090,PASS
REQ-GOV-003,BC-001,BC-001,EPIC-002,PASS
REQ-GOV-004,BC-001,BC-001,EPIC-005/EPIC-091,PASS
REQ-GOV-005,BC-001,BC-001,EPIC-092,PASS
REQ-GOV-ADR-002,BC-001,BC-001,EPIC-001/EPIC-002,PASS
REQ-GOV-ADR-003,BC-001,BC-001,EPIC-001/EPIC-002,PASS
REQ-GOV-ADR-018,BC-001,BC-001,EPIC-001/EPIC-002,PASS
REQ-GOV-DEC-001,BC-001,BC-001,EPIC-001,PASS
REQ-GOV-DEC-002,BC-001,BC-001,EPIC-001,PASS
REQ-HOM-001,BC-006,BC-006/BC-007,EPIC-023/EPIC-024,PASS
REQ-HW-001,BC-002,BC-002/BC-014,EPIC-010/EPIC-082,PASS
REQ-ID-001,BC-002,BC-002,EPIC-008,PASS
REQ-ID-002,BC-002,BC-002,EPIC-008/EPIC-009,PASS
REQ-INS-001,BC-015,BC-015,EPIC-081/EPIC-108,PASS
REQ-INS-002,BC-002,BC-002/BC-014/BC-015,EPIC-008/EPIC-076/EPIC-108,PASS
REQ-INS-003,BC-001,BC-001/BC-015,EPIC-005/EPIC-108,PASS
REQ-INS-004,BC-014,BC-014/BC-015,EPIC-075/EPIC-080/EPIC-108,PASS
REQ-ISM-001,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-ISM-002,BC-001,BC-001,EPIC-110,PASS
REQ-ISM-003,BC-001,BC-001,EPIC-086/EPIC-110,PASS
REQ-ISM-004,BC-001,BC-001,EPIC-001/EPIC-110,PASS
REQ-ISM-005,BC-001,BC-001,EPIC-110,PASS
REQ-ISM-006,BC-001,BC-001,EPIC-002,PASS
REQ-ISM-007,BC-001,BC-001,EPIC-110,PASS
REQ-ISM-008,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-ISM-009,BC-001,BC-001,EPIC-110,PASS
REQ-ISM-010,BC-001,BC-001,EPIC-001/EPIC-110,PASS
REQ-ISS-001,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-ISS-002,BC-001,BC-001,EPIC-001/EPIC-110,PASS
REQ-ISS-003,BC-001,BC-001,EPIC-091/EPIC-110,PASS
REQ-ISS-004,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-ISS-006,BC-001,BC-001,EPIC-002/EPIC-091,PASS
REQ-ISS-007,BC-001,BC-001,EPIC-002/EPIC-005,PASS
REQ-ISS-009,BC-001,BC-001,EPIC-002,PASS
REQ-LOG-001,BC-014,BC-014,EPIC-039/EPIC-076,PASS
REQ-MAT-001,BC-010,BC-010/BC-006,EPIC-019/EPIC-047,PASS
REQ-MCH-001,BC-006,BC-006/BC-009,EPIC-023/EPIC-050,PASS
REQ-MET-001,BC-014,BC-014,EPIC-039/EPIC-077,PASS
REQ-MOS-001,BC-010,BC-010/BC-008,EPIC-018/EPIC-098,PASS
REQ-MOS-002,BC-005,BC-005/BC-008,EPIC-055/EPIC-098,PASS
REQ-MOS-003,BC-007,BC-007/BC-008,EPIC-024/EPIC-098,PASS
REQ-MOS-004,BC-010,BC-010/BC-008,EPIC-019/EPIC-098,PASS
REQ-MOS-005,BC-007,BC-007/BC-008,EPIC-024/EPIC-098,PASS
REQ-MOS-006,BC-006,BC-006/BC-008,EPIC-095/EPIC-098,PASS
REQ-MSK-001,BC-007,BC-007/BC-006,EPIC-024/EPIC-045,PASS
REQ-MSK-002,BC-012,BC-012/BC-006,EPIC-037/EPIC-045,PASS
REQ-MSK-003,BC-016,BC-016/BC-006,EPIC-032/EPIC-045,PASS
REQ-MTD-001,BC-016,BC-016/BC-006,EPIC-032/EPIC-048,PASS
REQ-NATIVE-001,BC-001,BC-001/BC-007/BC-005/BC-013,EPIC-002/EPIC-021/EPIC-022/EPIC-026,PASS
REQ-NATIVE-002,BC-001,BC-001/BC-007/BC-005/BC-013,EPIC-002/EPIC-021/EPIC-022/EPIC-026,PASS
REQ-NATIVE-003,BC-001,BC-001/BC-007/BC-005/BC-013,EPIC-002/EPIC-021/EPIC-022/EPIC-026,PASS
REQ-NATIVE-004,BC-001,BC-001/BC-007/BC-005/BC-013,EPIC-002/EPIC-021/EPIC-022/EPIC-026,PASS
REQ-NATIVE-005,BC-001,BC-001/BC-007/BC-005/BC-013,EPIC-002/EPIC-021/EPIC-022/EPIC-026,PASS
REQ-NATIVE-006,BC-001,BC-001/BC-007/BC-005/BC-013,EPIC-002/EPIC-021/EPIC-022/EPIC-026,PASS
REQ-NATIVE-007,BC-001,BC-001/BC-007/BC-005/BC-013,EPIC-002/EPIC-021/EPIC-022/EPIC-026,PASS
REQ-NATIVE-008,BC-001,BC-001/BC-007/BC-005/BC-013,EPIC-002/EPIC-021/EPIC-022/EPIC-026,PASS
REQ-NATIVE-009,BC-001,BC-001/BC-007/BC-005/BC-013,EPIC-002/EPIC-021/EPIC-022/EPIC-026,PASS
REQ-NATIVE-010,BC-001,BC-001/BC-007/BC-005/BC-013,EPIC-002/EPIC-021/EPIC-022/EPIC-026,PASS
REQ-NET-001,BC-014,BC-014,EPIC-041/EPIC-079,PASS
REQ-NFR-001,BC-014,BC-014,EPIC-040,PASS
REQ-OBS-001,BC-014,BC-014,EPIC-039,PASS
REQ-OBS-002,BC-001,BC-001/BC-014,EPIC-005/EPIC-039,PASS
REQ-OFF-001,BC-005,BC-005/BC-014,EPIC-058/EPIC-083,PASS
REQ-OSS-001,BC-001,BC-001/BC-015,EPIC-007/EPIC-042,PASS
REQ-OUT-001,BC-014,BC-014/BC-006,EPIC-040/EPIC-044,PASS
REQ-PLN-001,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PLN-002,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PLN-003,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PLN-004,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PLN-005,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PLN-006,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PLN-007,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PLN-008,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PLN-009,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PLN-010,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRJ-001,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRJ-002,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRJ-003,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRJ-004,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRJ-005,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRJ-006,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRJ-007,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRJ-008,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRJ-009,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRJ-010,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRM-001,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRM-002,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRM-003,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRM-004,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRM-005,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRM-006,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRM-007,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRM-008,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRM-009,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PRM-010,BC-001,BC-001,EPIC-002/EPIC-110,PASS
REQ-PROV-001,BC-012,BC-012/BC-013,EPIC-037/EPIC-049,PASS
REQ-PRV-001,BC-003,BC-003/BC-013,EPIC-012/EPIC-013,PASS
REQ-PUB-002,BC-001,BC-001,EPIC-007/EPIC-091,PASS
REQ-PUB-003,BC-005,BC-005/BC-013,EPIC-058/EPIC-060/EPIC-061,PASS
REQ-PUB-004,BC-015,BC-015,EPIC-042/EPIC-089,PASS
REQ-QUAL-001,BC-007,BC-007,EPIC-024,PASS
REQ-QUAL-002,BC-007,BC-007/BC-012,EPIC-024/EPIC-037,PASS
REQ-QUAL-003,BC-007,BC-007/BC-016/BC-012,EPIC-024/EPIC-034/EPIC-037,PASS
REQ-QUAL-004,BC-007,BC-007,EPIC-024/EPIC-025,PASS
REQ-QUAL-005,BC-016,BC-016/BC-007,EPIC-034/EPIC-038,PASS
REQ-RAS-001,BC-006,BC-006,EPIC-044/EPIC-045/EPIC-093,PASS
REQ-RAS-002,BC-006,BC-006,EPIC-044/EPIC-097,PASS
REQ-RAS-003,BC-007,BC-007/BC-006,EPIC-024/EPIC-097,PASS
REQ-RAS-004,BC-006,BC-006,EPIC-095/EPIC-097,PASS
REQ-RAS-005,BC-013,BC-013/BC-006,EPIC-046/EPIC-097,PASS
REQ-REF-001,BC-007,BC-007/BC-005,EPIC-024/EPIC-053,PASS
REQ-REF-002,BC-007,BC-007/BC-005,EPIC-024/EPIC-056,PASS
REQ-RES-001,BC-010,BC-010/BC-014,EPIC-019/EPIC-040,PASS
REQ-RET-001,BC-013,BC-013,EPIC-049/EPIC-073,PASS
REQ-REV-003,BC-007,BC-007/BC-013/BC-011,EPIC-024/EPIC-049/EPIC-062,PASS
REQ-REV-004,BC-011,BC-011,EPIC-062/EPIC-064,PASS
REQ-RMQ-001,BC-014,BC-014/BC-008,EPIC-040/EPIC-103,PASS
REQ-RMQ-002,BC-013,BC-013/BC-008,EPIC-049/EPIC-103,PASS
REQ-RMQ-003,BC-008,BC-008,EPIC-098/EPIC-103,PASS
REQ-RMQ-004,BC-014,BC-014/BC-008,EPIC-075/EPIC-103,PASS
REQ-RMR-001,BC-012,BC-012/BC-008,EPIC-037/EPIC-102,PASS
REQ-RMR-002,BC-016,BC-016/BC-008,EPIC-032/EPIC-102,PASS
REQ-RMR-003,BC-012,BC-012/BC-008,EPIC-037/EPIC-102,PASS
