requirement_id,type,priority,owner,governing_adrs,linked_epics,evidence_or_test,conflict,redundancy,missing,impossible,status
REQ-AI-014,FUNCIONAL,P1,ADR-051,ADR-051/ADR-044/ADR-047,EPIC-029,test_stage_precondition_budget_evidence_planner,NONE,NONE,NO,NO,PASS
REQ-AI-015,FUNCIONAL,P1,ADR-051,ADR-051/ADR-034/ADR-039/ADR-044/ADR-054/ADR-053,EPIC-050/EPIC-080,test_inference_only_runtime_no_training_or_weight_mutation,NONE,NONE,NO,NO,PASS
REQ-AI-016,FUNCIONAL,P1,ADR-051,ADR-051/ADR-046,EPIC-036/EPIC-084,test_guided_explainable_ai_ux_without_seven_modes,NONE,NONE,NO,NO,PASS
REQ-AI-017,FUNCIONAL,P1,ADR-051,ADR-051/ADR-018/ADR-039/ADR-044/ADR-041/ADR-049/ADR-053,EPIC-046/EPIC-050,test_experimental_capability_cannot_publish_accepted_artifactset,NONE,NONE,NO,NO,PASS
REQ-AIE-001,FUNCIONAL,P1,AP-010,ADR-051/ADR-002/ADR-018/ADR-028/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_01,NONE,NONE,NO,NO,PASS
REQ-AIE-002,FUNCIONAL,P1,AP-010,ADR-051/ADR-002/ADR-018/ADR-028/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_02,NONE,NONE,NO,NO,PASS
REQ-AIE-003,FUNCIONAL,P1,AP-010,ADR-051/ADR-002/ADR-018/ADR-028/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_03,NONE,NONE,NO,NO,PASS
REQ-AIE-004,FUNCIONAL,P1,AP-010,ADR-051/ADR-002/ADR-018/ADR-028/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_04,NONE,NONE,NO,NO,PASS
REQ-AIE-005,NAO_FUNCIONAL,P1,AP-010,ADR-051/ADR-002/ADR-018/ADR-028/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_05,NONE,NONE,NO,NO,PASS
REQ-AIE-006,NAO_FUNCIONAL,P1,AP-010,ADR-051/ADR-002/ADR-018/ADR-028/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_06,NONE,NONE,NO,NO,PASS
REQ-AIE-007,FUNCIONAL,P1,AP-010,ADR-051/ADR-002/ADR-018/ADR-028/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_07,NONE,NONE,NO,NO,PASS
REQ-AIE-008,FUNCIONAL,P1,AP-010,ADR-051/ADR-002/ADR-018/ADR-028/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_08,NONE,NONE,NO,NO,PASS
REQ-AIE-009,FUNCIONAL,P1,AP-010,ADR-051/ADR-002/ADR-018/ADR-028/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_09,NONE,NONE,NO,NO,PASS
REQ-AIE-010,FUNCIONAL,P1,AP-010,ADR-051/ADR-002/ADR-018/ADR-028/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_10,NONE,NONE,NO,NO,PASS
REQ-ANC-001,FUNCIONAL,P0,ADR-049,ADR-051/ADR-047/ADR-041/ADR-049/ADR-050,EPIC-058/EPIC-099,test_distributed_external_anchor_sources_provenance_uncertainty_and_coverage,NONE,NONE,NO,NO,PASS
REQ-ANC-002,FUNCIONAL,P0,ADR-049,ADR-046/ADR-044/ADR-048/ADR-041/ADR-049/ADR-050/ADR-053,EPIC-024/EPIC-099,test_joint_anchored_per_image_homography_optimization_and_component_split,NONE,NONE,NO,NO,PASS
REQ-ANC-003,FUNCIONAL,P0,ADR-049,ADR-046/ADR-044/ADR-048/ADR-041/ADR-049/ADR-050/ADR-053,EPIC-024/EPIC-099,test_component_bootstrap_independent_gcps_homography_and_sgv,NONE,NONE,NO,NO,PASS
REQ-ANC-004,FUNCIONAL,P1,ADR-049,ADR-051/ADR-018/ADR-041/ADR-049/ADR-050,EPIC-046/EPIC-099,test_partial_anchor_states_subcomponents_and_immutable_artifacts,NONE,NONE,NO,NO,PASS
REQ-ANC-005,FUNCIONAL,P1,ADR-049,ADR-002/ADR-044/ADR-049/ADR-050,EPIC-032/EPIC-100,test_multiview_anchor_workspace_source_pixel_provenance_and_refinement,NONE,NONE,NO,NO,PASS
REQ-ANC-006,FUNCIONAL,P0,ADR-049,ADR-046/ADR-044/ADR-048/ADR-041/ADR-049/ADR-050/ADR-053,EPIC-024/EPIC-100,test_anchor_coverage_conditioning_diversity_marginal_gain_and_stop_rule,NONE,NONE,NO,NO,PASS
REQ-ANC-007,FUNCIONAL,P0,ADR-049,ADR-046/ADR-044/ADR-048/ADR-041/ADR-049/ADR-050/ADR-053,EPIC-024/EPIC-100,test_anchor_uncertainty_robust_weighting_conflict_quarantine_and_split,NONE,NONE,NO,NO,PASS
REQ-ANC-008,FUNCIONAL,P1,ADR-049,ADR-049,EPIC-066/EPIC-100,test_immutable_anchorset_impact_preview_scoped_reoptimization_and_history,NONE,NONE,NO,NO,PASS
REQ-ART-001,NAO_FUNCIONAL,P0,ADR-018;ADR-027,ADR-051/ADR-002/ADR-018/ADR-039/ADR-044/ADR-048/ADR-027/ADR-041/ADR-026,EPIC-012/EPIC-026,artifact_lineage_consistency,NONE,NONE,NO,NO,PASS
REQ-ART-002,CONTRATO,P0,ADR-018,ADR-051/ADR-018/ADR-041/ADR-049,EPIC-044/EPIC-046,test_original_immutable_cog_validation,NONE,NONE,NO,NO,PASS
REQ-ART-003,CONTRATO,P0,ADR-018,ADR-051/ADR-002/ADR-018/ADR-039/ADR-048/ADR-027/ADR-041/ADR-049/ADR-026,EPIC-012/EPIC-046,test_atomic_artifactset_publication_failure_recovery,NONE,NONE,NO,NO,PASS
REQ-ARTLAYOUT-001,NAO_FUNCIONAL,P1,ADR-018,ADR-051/ADR-002/ADR-018/ADR-036/ADR-044/ADR-027/ADR-054/ADR-041,EPIC-026/EPIC-039,test_req_artlayout_001,NONE,NONE,NO,NO,PASS
REQ-ARTLAYOUT-002,NAO_FUNCIONAL,P1,ADR-018,ADR-051/ADR-002/ADR-018/ADR-039/ADR-044/ADR-048/ADR-027/ADR-041/ADR-026,EPIC-012/EPIC-026,test_req_artlayout_002,NONE,NONE,NO,NO,PASS
REQ-ARTLAYOUT-003,NAO_FUNCIONAL,P0,ADR-018,ADR-051/ADR-018/ADR-044/ADR-027/ADR-041,EPIC-026,test_req_artlayout_003,NONE,NONE,NO,NO,PASS
REQ-ARTLAYOUT-004,NAO_FUNCIONAL,P1,ADR-018,ADR-051/ADR-002/ADR-018/ADR-036/ADR-044/ADR-027/ADR-054/ADR-041,EPIC-026/EPIC-039,test_req_artlayout_004,NONE,NONE,NO,NO,PASS
REQ-ARTLAYOUT-005,NAO_FUNCIONAL,P1,ADR-018,ADR-051/ADR-018/ADR-034/ADR-044/ADR-027/ADR-041,EPIC-026/EPIC-078,test_req_artlayout_005,NONE,NONE,NO,NO,PASS
REQ-ARTLAYOUT-006,NAO_FUNCIONAL,P1,ADR-018,ADR-051/ADR-018/ADR-034/ADR-044/ADR-027/ADR-041,EPIC-026/EPIC-078,test_req_artlayout_006,NONE,NONE,NO,NO,PASS
REQ-ARTLAYOUT-007,NAO_FUNCIONAL,P1,ADR-018,ADR-051/ADR-018/ADR-034/ADR-044/ADR-027/ADR-041,EPIC-026/EPIC-078,test_req_artlayout_007,NONE,NONE,NO,NO,PASS
REQ-ARTLAYOUT-008,NAO_FUNCIONAL,P1,ADR-018,ADR-051/ADR-002/ADR-018/ADR-036/ADR-044/ADR-027/ADR-054/ADR-041,EPIC-026/EPIC-039,test_req_artlayout_008,NONE,NONE,NO,NO,PASS
REQ-ARTLAYOUT-009,NAO_FUNCIONAL,P1,ADR-018,ADR-051/ADR-002/ADR-018/ADR-036/ADR-044/ADR-027/ADR-054/ADR-041,EPIC-026/EPIC-039,test_req_artlayout_009,NONE,NONE,NO,NO,PASS
REQ-ARTLAYOUT-010,NAO_FUNCIONAL,P0,ADR-018,ADR-051/ADR-002/ADR-018/ADR-028/ADR-034/ADR-044/ADR-047/ADR-027/ADR-041/ADR-026,EPIC-004/EPIC-026/EPIC-041,test_req_artlayout_010,NONE,NONE,NO,NO,PASS
REQ-AUD-001,NAO_FUNCIONAL,P0,ADR-054,ADR-002/ADR-028/ADR-039/ADR-054/ADR-050/ADR-026,EPIC-011/EPIC-075,test_audit_append_only_digest_and_no_sampling,NONE,NONE,NO,NO,PASS
REQ-AUTH-IMPL-001,CONTRATO,P1,ADR-028,ADR-051/ADR-002/ADR-018/ADR-028/ADR-034/ADR-047/ADR-054,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_001,NONE,NONE,NO,NO,PASS
REQ-AUTH-IMPL-002,CONTRATO,P1,BP-003,ADR-051/ADR-002/ADR-018/ADR-028/ADR-034/ADR-047/ADR-054,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_002,NONE,NONE,NO,NO,PASS
REQ-AUTH-IMPL-003,CONTRATO,P0,ADR-028,ADR-051/ADR-002/ADR-018/ADR-028/ADR-034/ADR-047/ADR-054,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_003,NONE,NONE,NO,NO,PASS
REQ-AUTH-IMPL-004,CONTRATO,P1,ADR-028,ADR-051/ADR-002/ADR-018/ADR-028/ADR-034/ADR-047/ADR-054,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_004,NONE,NONE,NO,NO,PASS
REQ-AUTH-IMPL-005,CONTRATO,P1,ADR-028,ADR-051/ADR-002/ADR-018/ADR-028/ADR-034/ADR-047/ADR-054,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_005,NONE,NONE,NO,NO,PASS
REQ-AUTH-IMPL-006,CONTRATO,P0,ADR-028,ADR-051/ADR-002/ADR-018/ADR-028/ADR-034/ADR-047/ADR-054,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_006,NONE,NONE,NO,NO,PASS
REQ-AUTH-IMPL-007,CONTRATO,P1,ADR-028,ADR-051/ADR-002/ADR-018/ADR-028/ADR-034/ADR-047/ADR-054,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_007,NONE,NONE,NO,NO,PASS
REQ-AUTH-IMPL-008,CONTRATO,P1,ADR-028,ADR-051/ADR-002/ADR-018/ADR-028/ADR-034/ADR-047/ADR-054,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_008,NONE,NONE,NO,NO,PASS
REQ-AUTH-IMPL-009,CONTRATO,P1,ADR-028,ADR-051/ADR-002/ADR-018/ADR-028/ADR-034/ADR-047/ADR-054,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_009,NONE,NONE,NO,NO,PASS
REQ-AUTH-IMPL-010,CONTRATO,P1,ADR-028,ADR-051/ADR-002/ADR-018/ADR-028/ADR-034/ADR-047/ADR-054,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,test_req_auth_impl_010,NONE,NONE,NO,NO,PASS
REQ-BAT-001,FUNCIONAL,P0,AP-011,ADR-036/ADR-046/ADR-039/ADR-048,EPIC-034/EPIC-057,test_independent_components_partial_success_retry_subset,NONE,NONE,NO,NO,PASS
REQ-BEX-001,FUNCIONAL,P1,AP-011,ADR-018/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_01,NONE,NONE,NO,NO,PASS
REQ-BEX-002,FUNCIONAL,P1,AP-011,ADR-018/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_02,NONE,NONE,NO,NO,PASS
REQ-BEX-003,FUNCIONAL,P1,AP-011,ADR-018/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_03,NONE,NONE,NO,NO,PASS
REQ-BEX-004,FUNCIONAL,P1,AP-011,ADR-018/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_04,NONE,NONE,NO,NO,PASS
REQ-BEX-005,FUNCIONAL,P1,AP-011,ADR-018/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_05,NONE,NONE,NO,NO,PASS
REQ-BEX-006,FUNCIONAL,P1,AP-011,ADR-018/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_06,NONE,NONE,NO,NO,PASS
REQ-BEX-007,FUNCIONAL,P1,AP-011,ADR-018/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_07,NONE,NONE,NO,NO,PASS
REQ-BEX-008,FUNCIONAL,P1,AP-011,ADR-018/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_08,NONE,NONE,NO,NO,PASS
REQ-BEX-009,FUNCIONAL,P1,AP-011,ADR-018/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_09,NONE,NONE,NO,NO,PASS
REQ-BEX-010,FUNCIONAL,P1,AP-011,ADR-018/ADR-036/ADR-034/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-054/ADR-041/ADR-049/ADR-050/ADR-053/ADR-026,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,test_batch_execution_decision_10,NONE,NONE,NO,NO,PASS
REQ-BKP-001,NAO_FUNCIONAL,P0,ADR-027,ADR-051/ADR-018/ADR-036/ADR-047/ADR-048/ADR-027/ADR-050/ADR-053/ADR-026,EPIC-049/EPIC-071,test_backupset_consistency_manifest_external_roots,NONE,NONE,NO,NO,PASS
REQ-BKP-002,NAO_FUNCIONAL,P0,ADR-027,ADR-027/ADR-026,EPIC-071/EPIC-072,test_isolated_restore_drill_integrity_rpo_rto,NONE,NONE,NO,NO,PASS
REQ-CAC-001,FUNCIONAL,P1,ADR-047,ADR-051/ADR-018/ADR-036/ADR-047/ADR-048/ADR-027/ADR-050/ADR-053,EPIC-049/EPIC-061,test_content_addressed_cache_license_retention_lineage_gc,NONE,NONE,NO,NO,PASS
REQ-CAT-001,FUNCIONAL,P1,ADR-048;ADR-039,ADR-002/ADR-018/ADR-046/ADR-039/ADR-048/ADR-027/ADR-041/ADR-026,EPIC-012/EPIC-034,test_catalog_190k_metadata_pagination_search,NONE,NONE,NO,NO,PASS
REQ-CIT-001,GOVERNANCA,P1,CITATION_POLICY,ADR-034/ADR-047/ADR-054,EPIC-007/EPIC-042,citation_cff_validation,NONE,NONE,NO,NO,PASS
REQ-CLASSICPROFILE-001,NAO_FUNCIONAL,P1,BP-001,ADR-051/ADR-002/ADR-046/ADR-044/ADR-047/ADR-041/ADR-053,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_001,NONE,NONE,NO,NO,PASS
REQ-CLASSICPROFILE-002,NAO_FUNCIONAL,P1,BP-001,ADR-051/ADR-002/ADR-046/ADR-044/ADR-047/ADR-041/ADR-053,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_002,NONE,NONE,NO,NO,PASS
REQ-CLASSICPROFILE-003,NAO_FUNCIONAL,P1,BP-001,ADR-051/ADR-002/ADR-046/ADR-044/ADR-047/ADR-041/ADR-053,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_003,NONE,NONE,NO,NO,PASS
REQ-CLASSICPROFILE-004,NAO_FUNCIONAL,P1,BP-001,ADR-051/ADR-002/ADR-046/ADR-044/ADR-047/ADR-041/ADR-053,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_004,NONE,NONE,NO,NO,PASS
REQ-CLASSICPROFILE-005,NAO_FUNCIONAL,P1,BP-001,ADR-051/ADR-002/ADR-046/ADR-044/ADR-047/ADR-041/ADR-053,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_005,NONE,NONE,NO,NO,PASS
REQ-CLASSICPROFILE-006,NAO_FUNCIONAL,P1,BP-001,ADR-051/ADR-002/ADR-046/ADR-044/ADR-047/ADR-041/ADR-053,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_006,NONE,NONE,NO,NO,PASS
REQ-CLASSICPROFILE-007,NAO_FUNCIONAL,P1,BP-001,ADR-051/ADR-002/ADR-046/ADR-044/ADR-047/ADR-041/ADR-053,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_007,NONE,NONE,NO,NO,PASS
REQ-CLASSICPROFILE-008,NAO_FUNCIONAL,P1,BP-001,ADR-051/ADR-002/ADR-046/ADR-044/ADR-047/ADR-041/ADR-053,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_008,NONE,NONE,NO,NO,PASS
REQ-CLASSICPROFILE-009,NAO_FUNCIONAL,P1,BP-001,ADR-051/ADR-002/ADR-046/ADR-044/ADR-047/ADR-041/ADR-053,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_009,NONE,NONE,NO,NO,PASS
REQ-CLASSICPROFILE-010,NAO_FUNCIONAL,P0,BP-001,ADR-051/ADR-002/ADR-046/ADR-044/ADR-047/ADR-041/ADR-053,EPIC-002/EPIC-022/EPIC-028,test_req_classicprofile_010,NONE,NONE,NO,NO,PASS
REQ-CRS-001,CONTRATO,P0,ADR-041,ADR-048/ADR-041,EPIC-063/EPIC-093,test_pixel_reference_target_discovery_coordinate_roundtrip,NONE,NONE,NO,NO,PASS
REQ-CRS-002,CONTRATO,P0,ADR-041,ADR-051/ADR-002/ADR-018/ADR-034/ADR-044/ADR-041/ADR-026,EPIC-004/EPIC-093,test_explicit_axis_order_and_adapter_normalization,NONE,NONE,NO,NO,PASS
REQ-CRS-003,CONTRATO,P0,ADR-041,ADR-046/ADR-044/ADR-048/ADR-041/ADR-049/ADR-050/ADR-053,EPIC-024/EPIC-093,test_units_precision_tolerance_and_no_premature_rounding,NONE,NONE,NO,NO,PASS
REQ-CRS-004,CONTRATO,P0,ADR-041,ADR-041,EPIC-093/EPIC-096,test_aoi_aware_working_crs_selection_distortion_and_explanation,NONE,NONE,NO,NO,PASS
REQ-CRS-005,CONTRATO,P0,ADR-041,ADR-051/ADR-047/ADR-041/ADR-049,EPIC-058/EPIC-096,test_reference_crs_fail_closed_metadata_area_operation_roundtrip,NONE,NONE,NO,NO,PASS
REQ-CRS-006,CONTRATO,P1,ADR-041,ADR-018/ADR-041,EPIC-044/EPIC-096,test_technical_canonical_output_and_optional_web_derivative_lineage,NONE,NONE,NO,NO,PASS
REQ-CRS-007,CONTRATO,P1,ADR-041,ADR-051/ADR-047/ADR-041/ADR-049,EPIC-058/EPIC-096,test_web_service_capability_crs_negotiation_and_actual_response_validation,NONE,NONE,NO,NO,PASS
REQ-DBSCHEMA-001,CONTRATO,P1,ADR-018,ADR-002/ADR-018/ADR-039/ADR-048/ADR-027/ADR-041/ADR-026,EPIC-012/EPIC-013,test_req_dbschema_001,NONE,NONE,NO,NO,PASS
REQ-DBSCHEMA-002,CONTRATO,P1,ADR-018,ADR-051/ADR-002/ADR-018/ADR-034/ADR-039/ADR-044/ADR-048/ADR-027/ADR-041/ADR-026,EPIC-004/EPIC-012,test_req_dbschema_002,NONE,NONE,NO,NO,PASS
REQ-DBSCHEMA-003,CONTRATO,P0,ADR-018,ADR-002/ADR-018/ADR-028/ADR-034/ADR-039/ADR-048/ADR-027/ADR-041/ADR-026,EPIC-008/EPIC-012,test_req_dbschema_003,NONE,NONE,NO,NO,PASS
REQ-DBSCHEMA-004,CONTRATO,P1,ADR-018,ADR-051/ADR-002/ADR-018/ADR-034/ADR-039/ADR-044/ADR-048/ADR-027/ADR-041/ADR-026,EPIC-004/EPIC-012,test_req_dbschema_004,NONE,NONE,NO,NO,PASS
REQ-DBSCHEMA-005,CONTRATO,P1,ADR-041,ADR-002/ADR-018/ADR-046/ADR-039/ADR-044/ADR-047/ADR-048/ADR-027/ADR-041/ADR-026,EPIC-012/EPIC-021,test_req_dbschema_005,NONE,NONE,NO,NO,PASS
REQ-DBSCHEMA-006,CONTRATO,P1,ADR-018,ADR-051/ADR-002/ADR-018/ADR-039/ADR-044/ADR-048/ADR-027/ADR-041/ADR-026,EPIC-012/EPIC-026,test_req_dbschema_006,NONE,NONE,NO,NO,PASS
REQ-DBSCHEMA-007,CONTRATO,P1,ADR-018,ADR-051/ADR-002/ADR-018/ADR-034/ADR-039/ADR-044/ADR-048/ADR-027/ADR-041/ADR-026,EPIC-004/EPIC-012,test_req_dbschema_007,NONE,NONE,NO,NO,PASS
REQ-DBSCHEMA-008,CONTRATO,P1,ADR-018,ADR-051/ADR-002/ADR-018/ADR-036/ADR-034/ADR-039/ADR-044/ADR-048/ADR-027/ADR-041/ADR-026,EPIC-004/EPIC-012/EPIC-014,test_req_dbschema_008,NONE,NONE,NO,NO,PASS
