issue_id,type,status,epic_id,sprint,bounded_context,bounded_context_name,owner_role,file,governing_adrs,criterion_ids,rr_status,ddd_status,phase_f_status,phase_g_status,cto_risk_tier
ISSUE-0011,Epic delivery envelope,planned,EPIC-011,SPRINT-002,BC-002,Identidade e Controle de Acesso,Backend,ISSUE-0011-limites-idempotencia-audit-log-e-controles-administrativos.md,ADR-002/ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014/ADR-016/ADR-017/ADR-021/ADR-028/ADR-029/ADR-030/ADR-031/ADR-032/ADR-055,AC-ISSUE-0011-01/AC-ISSUE-0011-02/AC-ISSUE-0011-03/AC-ISSUE-0011-04/AC-ISSUE-0011-05/AC-ISSUE-0011-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0012,Epic delivery envelope,planned,EPIC-012,SPRINT-002,BC-003,"Projetos, Workspace e Assets",Backend,ISSUE-0012-raizes-de-workspace-api-de-navegacao-segura-catalogo-hashes-e-lineage.md,ADR-001/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-012/ADR-013/ADR-014/ADR-015/ADR-016/ADR-017/ADR-018/ADR-019/ADR-020/ADR-023/ADR-025/ADR-026/ADR-030/ADR-031/ADR-032/ADR-040/ADR-041/ADR-043/ADR-045/ADR-055,AC-ISSUE-0012-01/AC-ISSUE-0012-02/AC-ISSUE-0012-03/AC-ISSUE-0012-04/AC-ISSUE-0012-05/AC-ISSUE-0012-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0013,Epic delivery envelope,planned,EPIC-013,SPRINT-002,BC-013,"Artifacts, Proveniência e Lifecycle",Backend,ISSUE-0013-backup-restore-consistente-entre-banco-e-arquivos.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-016/ADR-018/ADR-019/ADR-026/ADR-027/ADR-030/ADR-031/ADR-032/ADR-055,AC-ISSUE-0013-01/AC-ISSUE-0013-02/AC-ISSUE-0013-03/AC-ISSUE-0013-04/AC-ISSUE-0013-05/AC-ISSUE-0013-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0014,Epic delivery envelope,planned,EPIC-014,SPRINT-003,BC-010,Orquestração de Jobs e Recursos,Backend,ISSUE-0014-modelo-de-job-e-maquina-de-estados-no-postgresql.md,ADR-002/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-012/ADR-015/ADR-016/ADR-018/ADR-019/ADR-020/ADR-023/ADR-030/ADR-033/ADR-034/ADR-037/ADR-038/ADR-040/ADR-044/ADR-045/ADR-046/ADR-051/ADR-052/ADR-053/ADR-055,AC-ISSUE-0014-01/AC-ISSUE-0014-02/AC-ISSUE-0014-03/AC-ISSUE-0014-04/AC-ISSUE-0014-05/AC-ISSUE-0014-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0015,Epic delivery envelope,planned,EPIC-015,SPRINT-003,BC-010,Orquestração de Jobs e Recursos,Backend,ISSUE-0015-runner-direto-e-celery-rabbitmq-sobre-o-mesmo-nucleo.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-014/ADR-016/ADR-018/ADR-033/ADR-034,AC-ISSUE-0015-01/AC-ISSUE-0015-02/AC-ISSUE-0015-03/AC-ISSUE-0015-04/AC-ISSUE-0015-05/AC-ISSUE-0015-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0016,Epic delivery envelope,planned,EPIC-016,SPRINT-003,BC-010,Orquestração de Jobs e Recursos,Backend,ISSUE-0016-retries-redelivery-cancelamento-retomada-e-idempotencia.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-016/ADR-018/ADR-033/ADR-034/ADR-038,AC-ISSUE-0016-01/AC-ISSUE-0016-02/AC-ISSUE-0016-03/AC-ISSUE-0016-04/AC-ISSUE-0016-05/AC-ISSUE-0016-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0017,Epic delivery envelope,planned,EPIC-017,SPRINT-003,BC-010,Orquestração de Jobs e Recursos,Backend,ISSUE-0017-rest-sse-e-polling-de-reconciliacao-com-contratos-versionados.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-016/ADR-033/ADR-034,AC-ISSUE-0017-01/AC-ISSUE-0017-02/AC-ISSUE-0017-03/AC-ISSUE-0017-04/AC-ISSUE-0017-05/AC-ISSUE-0017-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0018,Epic delivery envelope,planned,EPIC-018,SPRINT-003,BC-010,Orquestração de Jobs e Recursos,Backend,ISSUE-0018-batch-hierarquico-chunking-backpressure-checkpoints-e-retomada-para-lo.md,ADR-002/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-012/ADR-016/ADR-033/ADR-034/ADR-037/ADR-038/ADR-039/ADR-040/ADR-046/ADR-049/ADR-053,AC-ISSUE-0018-01/AC-ISSUE-0018-02/AC-ISSUE-0018-03/AC-ISSUE-0018-04/AC-ISSUE-0018-05/AC-ISSUE-0018-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0019,Epic delivery envelope,planned,EPIC-019,SPRINT-003,BC-010,Orquestração de Jobs e Recursos,Backend,ISSUE-0019-resource-governor-admission-control-e-orcamento-adaptativo-de-ram-cpu-.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-012/ADR-016/ADR-033/ADR-034/ADR-037/ADR-038/ADR-039/ADR-040/ADR-044/ADR-046/ADR-047/ADR-053,AC-ISSUE-0019-01/AC-ISSUE-0019-02/AC-ISSUE-0019-03/AC-ISSUE-0019-04/AC-ISSUE-0019-05/AC-ISSUE-0019-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0020,Epic delivery envelope,planned,EPIC-020,SPRINT-003,BC-016,Experiência e Orientação do Operador,Backend,ISSUE-0020-cli-estavel-para-projetos-ingestao-jobs-e-resultados.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-015/ADR-016/ADR-023/ADR-040/ADR-044/ADR-045/ADR-046/ADR-055,AC-ISSUE-0020-01/AC-ISSUE-0020-02/AC-ISSUE-0020-03/AC-ISSUE-0020-04/AC-ISSUE-0020-05/AC-ISSUE-0020-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0021,Epic delivery envelope,planned,EPIC-021,SPRINT-005,BC-007,Verificação Geométrica e Qualidade,Geoprocessamento,ISSUE-0021-corpus-versionado-com-decadas-e-condicoes-distintas.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-015/ADR-023/ADR-040/ADR-041/ADR-042/ADR-043/ADR-044/ADR-045/ADR-046/ADR-053/ADR-055,AC-ISSUE-0021-01/AC-ISSUE-0021-02/AC-ISSUE-0021-03/AC-ISSUE-0021-04/AC-ISSUE-0021-05/AC-ISSUE-0021-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0022,Epic delivery envelope,planned,EPIC-022,SPRINT-005,BC-005,Descoberta e Aquisição de Referências,Geoprocessamento,ISSUE-0022-busca-provavel-greenfield-validada.md,ADR-002/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-015/ADR-023/ADR-025/ADR-030/ADR-038/ADR-039/ADR-040/ADR-041/ADR-042/ADR-043/ADR-044/ADR-045/ADR-046/ADR-051/ADR-052/ADR-053/ADR-055,AC-ISSUE-0022-01/AC-ISSUE-0022-02/AC-ISSUE-0022-03/AC-ISSUE-0022-04/AC-ISSUE-0022-05/AC-ISSUE-0022-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0023,Epic delivery envelope,planned,EPIC-023,SPRINT-005,BC-006,Georreferenciamento,Geoprocessamento,ISSUE-0023-correspondencias-e-estimacao-robusta-da-homografia-projetiva-validadas.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-015/ADR-023/ADR-040/ADR-041/ADR-042/ADR-043/ADR-044/ADR-045/ADR-046/ADR-053/ADR-055,AC-ISSUE-0023-01/AC-ISSUE-0023-02/AC-ISSUE-0023-03/AC-ISSUE-0023-04/AC-ISSUE-0023-05/AC-ISSUE-0023-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0024,Epic delivery envelope,planned,EPIC-024,SPRINT-005,BC-007,Verificação Geométrica e Qualidade,Geoprocessamento,ISSUE-0024-strong-geometric-verifier-fail-closed-para-homografia-projetiva-qualit.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-015/ADR-023/ADR-030/ADR-038/ADR-040/ADR-041/ADR-042/ADR-043/ADR-044/ADR-045/ADR-046/ADR-048/ADR-049/ADR-050/ADR-051/ADR-052/ADR-053/ADR-055,AC-ISSUE-0024-01/AC-ISSUE-0024-02/AC-ISSUE-0024-03/AC-ISSUE-0024-04/AC-ISSUE-0024-05/AC-ISSUE-0024-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0025,Epic delivery envelope,planned,EPIC-025,SPRINT-005,BC-007,Verificação Geométrica e Qualidade,Geoprocessamento,ISSUE-0025-registry-calibracao-benchmark-e-lifecycle-de-qualityprofiles-oficiais-.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-041/ADR-042/ADR-043/ADR-046,AC-ISSUE-0025-01/AC-ISSUE-0025-02/AC-ISSUE-0025-03/AC-ISSUE-0025-04/AC-ISSUE-0025-05/AC-ISSUE-0025-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0026,Epic delivery envelope,planned,EPIC-026,SPRINT-005,BC-013,"Artifacts, Proveniência e Lifecycle",Geoprocessamento,ISSUE-0026-artefatos-e-lineage.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-012/ADR-015/ADR-019/ADR-023/ADR-024/ADR-025/ADR-040/ADR-041/ADR-042/ADR-043/ADR-044/ADR-045/ADR-046/ADR-052/ADR-055,AC-ISSUE-0026-01/AC-ISSUE-0026-02/AC-ISSUE-0026-03/AC-ISSUE-0026-04/AC-ISSUE-0026-05/AC-ISSUE-0026-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0027,Epic delivery envelope,planned,EPIC-027,SPRINT-005,BC-005,Descoberta e Aquisição de Referências,Geoprocessamento,ISSUE-0027-gateway-de-fontes-protecao-ssrf-estados-de-disponibilidade-e-bloqueio-.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-041/ADR-042/ADR-043/ADR-047,AC-ISSUE-0027-01/AC-ISSUE-0027-02/AC-ISSUE-0027-03/AC-ISSUE-0027-04/AC-ISSUE-0027-05/AC-ISSUE-0027-06,PASS,PASS,PASS,PASS,HIGH
ISSUE-0028,Epic delivery envelope,planned,EPIC-028,SPRINT-005,BC-007,Verificação Geométrica e Qualidade,Geoprocessamento,ISSUE-0028-benchmarks-por-periodo-sensor-e-perfil-de-qualidade.md,ADR-002/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-018/ADR-025/ADR-030/ADR-038/ADR-039/ADR-041/ADR-042/ADR-043/ADR-044/ADR-045/ADR-046/ADR-051/ADR-052/ADR-053,AC-ISSUE-0028-01/AC-ISSUE-0028-02/AC-ISSUE-0028-03/AC-ISSUE-0028-04/AC-ISSUE-0028-05/AC-ISSUE-0028-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0029,Epic delivery envelope,planned,EPIC-029,SPRINT-005,BC-004,Plano de Processamento e Workflow,Geoprocessamento,ISSUE-0029-etapas-capacidades-canonicas-e-processingplan-reproduzivel.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-014/ADR-041/ADR-042/ADR-043/ADR-047/ADR-051,AC-ISSUE-0029-01/AC-ISSUE-0029-02/AC-ISSUE-0029-03/AC-ISSUE-0029-04/AC-ISSUE-0029-05/AC-ISSUE-0029-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0030,Epic delivery envelope,planned,EPIC-030,SPRINT-005,BC-012,"Resultados, Diagnósticos e Exportação",Geoprocessamento,ISSUE-0030-taxonomia-versionada-de-falhas-evidencias-remediacoes-seguras-e-contra.md,ADR-002/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-038/ADR-041/ADR-042/ADR-043,AC-ISSUE-0030-01/AC-ISSUE-0030-02/AC-ISSUE-0030-03/AC-ISSUE-0030-04/AC-ISSUE-0030-05/AC-ISSUE-0030-06,PASS,PASS,PASS,PASS,HIGH
ISSUE-0031,Epic delivery envelope,planned,EPIC-031,SPRINT-009,BC-016,Experiência e Orientação do Operador,Frontend,ISSUE-0031-react-typescript-vite-design-system-cliente-openapi-seletor-visual-ace.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-013/ADR-014/ADR-015/ADR-017/ADR-023/ADR-040/ADR-044/ADR-045/ADR-046/ADR-055,AC-ISSUE-0031-01/AC-ISSUE-0031-02/AC-ISSUE-0031-03/AC-ISSUE-0031-04/AC-ISSUE-0031-05/AC-ISSUE-0031-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0032,Epic delivery envelope,planned,EPIC-032,SPRINT-009,BC-016,Experiência e Orientação do Operador,Frontend,ISSUE-0032-workspace-openlayers-configuracao-acompanhamento-e-revisao.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014/ADR-040/ADR-042/ADR-049/ADR-055,AC-ISSUE-0032-01/AC-ISSUE-0032-02/AC-ISSUE-0032-03/AC-ISSUE-0032-04/AC-ISSUE-0032-05/AC-ISSUE-0032-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0033,Epic delivery envelope,planned,EPIC-033,SPRINT-009,BC-016,Experiência e Orientação do Operador,Frontend,ISSUE-0033-assistente-guiado-recomendacao-explicavel-consentimentos-e-modo-avanca.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014/ADR-047/ADR-051,AC-ISSUE-0033-01/AC-ISSUE-0033-02/AC-ISSUE-0033-03/AC-ISSUE-0033-04/AC-ISSUE-0033-05/AC-ISSUE-0033-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0034,Epic delivery envelope,planned,EPIC-034,SPRINT-009,BC-016,Experiência e Orientação do Operador,Frontend,ISSUE-0034-painel-de-qualidade-do-lote-busca-server-side-filtros-salvos-triagem-d.md,ADR-002/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-012/ADR-014/ADR-025/ADR-030/ADR-037/ADR-038/ADR-039/ADR-040/ADR-046/ADR-053,AC-ISSUE-0034-01/AC-ISSUE-0034-02/AC-ISSUE-0034-03/AC-ISSUE-0034-04/AC-ISSUE-0034-05/AC-ISSUE-0034-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0035,Epic delivery envelope,planned,EPIC-035,SPRINT-009,BC-011,Revisão e Correção,Frontend,ISSUE-0035-workflow-de-revisao-com-gates-revisaveis-hard-gates-imutaveis-checklis.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014/ADR-016/ADR-046,AC-ISSUE-0035-01/AC-ISSUE-0035-02/AC-ISSUE-0035-03/AC-ISSUE-0035-04/AC-ISSUE-0035-05/AC-ISSUE-0035-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0036,Epic delivery envelope,planned,EPIC-036,SPRINT-009,BC-016,Experiência e Orientação do Operador,Product Owner,ISSUE-0036-central-aprender-exemplos-visuais-projeto-demonstrativo-e-ajuda-contex.md,ADR-002/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-014,AC-ISSUE-0036-01/AC-ISSUE-0036-02/AC-ISSUE-0036-03/AC-ISSUE-0036-04/AC-ISSUE-0036-05/AC-ISSUE-0036-06,PASS,PASS,PASS,PASS,MEDIUM
ISSUE-0037,Epic delivery envelope,planned,EPIC-037,SPRINT-010,BC-012,"Resultados, Diagnósticos e Exportação",Backend,ISSUE-0037-persistencia-e-exportacao-escalavel-de-resultados-por-imagem-lote-geom.md,ADR-002/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-012/ADR-014/ADR-016/ADR-025/ADR-037/ADR-038/ADR-039/ADR-040/ADR-046/ADR-048/ADR-050/ADR-053,AC-ISSUE-0037-01/AC-ISSUE-0037-02/AC-ISSUE-0037-03/AC-ISSUE-0037-04/AC-ISSUE-0037-05/AC-ISSUE-0037-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0038,Epic delivery envelope,planned,EPIC-038,SPRINT-010,BC-007,Verificação Geométrica e Qualidade,Backend,ISSUE-0038-metricas-heatmap-amostrado-e-diagnostico-denso-do-image-deformation-pr.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014/ADR-016/ADR-046,AC-ISSUE-0038-01/AC-ISSUE-0038-02/AC-ISSUE-0038-03/AC-ISSUE-0038-04/AC-ISSUE-0038-05/AC-ISSUE-0038-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0039,Epic delivery envelope,planned,EPIC-039,SPRINT-011,BC-014,"Operações, Auditoria e Suporte",DevOps,ISSUE-0039-instrumentacao-opentelemetry-correlation-ids-metricas-dashboards-e-ale.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-012/ADR-017/ADR-018/ADR-020/ADR-023/ADR-024/ADR-030/ADR-031/ADR-032/ADR-033/ADR-034/ADR-037/ADR-038/ADR-046/ADR-051/ADR-052/ADR-053/ADR-054/ADR-055,AC-ISSUE-0039-01/AC-ISSUE-0039-02/AC-ISSUE-0039-03/AC-ISSUE-0039-04/AC-ISSUE-0039-05/AC-ISSUE-0039-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0040,Epic delivery envelope,planned,EPIC-040,SPRINT-011,BC-014,"Operações, Auditoria e Suporte",DevOps,ISSUE-0040-benchmark-limites-e-orcamento-de-recursos.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-012/ADR-030/ADR-031/ADR-032/ADR-033/ADR-034/ADR-036/ADR-039/ADR-040/ADR-042/ADR-053,AC-ISSUE-0040-01/AC-ISSUE-0040-02/AC-ISSUE-0040-03/AC-ISSUE-0040-04/AC-ISSUE-0040-05/AC-ISSUE-0040-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0041,Epic delivery envelope,planned,EPIC-041,SPRINT-002,BC-014,"Operações, Auditoria e Suporte",Security,ISSUE-0041-threat-model-validado-scanning-e-testes-ofensivos.md,ADR-002/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-014/ADR-016/ADR-023/ADR-028/ADR-029/ADR-030/ADR-031/ADR-032/ADR-033/ADR-034/ADR-038/ADR-046/ADR-047/ADR-051/ADR-052/ADR-053/ADR-055,AC-ISSUE-0041-01/AC-ISSUE-0041-02/AC-ISSUE-0041-03/AC-ISSUE-0041-04/AC-ISSUE-0041-05/AC-ISSUE-0041-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0042,Epic delivery envelope,planned,EPIC-042,SPRINT-012,BC-015,"Release, Instalação e Supply Chain",Reviewer,ISSUE-0042-licenca-citacao-sanitizacao-e-revisao-externa-concluidas.md,ADR-002/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-016/ADR-030/ADR-031/ADR-032/ADR-033/ADR-034/ADR-037/ADR-056,AC-ISSUE-0042-01/AC-ISSUE-0042-02/AC-ISSUE-0042-03/AC-ISSUE-0042-04/AC-ISSUE-0042-05/AC-ISSUE-0042-06,PASS,PASS,PASS,PASS,CRITICAL
