requirement_id,type,priority,owner,epics,stories,evidence_or_test,status
REQ-ART-001,NAO_FUNCIONAL,P0,ADR-025,EPIC-012/EPIC-026,STORY-0732,artifact_lineage_consistency,PENDING
REQ-ART-002,CONTRATO,P0,ADR-042,EPIC-044/EPIC-046,STORY-0261/STORY-0275,test_original_immutable_cog_validation,PENDING
REQ-ART-003,CONTRATO,P0,ADR-023,EPIC-012/EPIC-046,STORY-0718/STORY-0280,test_atomic_artifactset_publication_failure_recovery,PENDING
REQ-ARTLAYOUT-001,NAO_FUNCIONAL,P1,ADR-009,EPIC-026/EPIC-039,STORY-0745,test_req_artlayout_001,ACCEPTED
REQ-ARTLAYOUT-002,NAO_FUNCIONAL,P1,ADR-012,EPIC-012/EPIC-026,STORY-0732,test_req_artlayout_002,ACCEPTED
REQ-ARTLAYOUT-003,NAO_FUNCIONAL,P0,ADR-023,EPIC-026,STORY-0732,test_req_artlayout_003,ACCEPTED
REQ-ARTLAYOUT-004,NAO_FUNCIONAL,P1,ADR-024,EPIC-026/EPIC-039,STORY-0745,test_req_artlayout_004,ACCEPTED
REQ-ARTLAYOUT-005,NAO_FUNCIONAL,P1,ADR-024,EPIC-026/EPIC-078,STORY-0732/STORY-0488,test_req_artlayout_005,ACCEPTED
REQ-ARTLAYOUT-006,NAO_FUNCIONAL,P1,ADR-040,EPIC-026/EPIC-078,STORY-0732/STORY-0488,test_req_artlayout_006,ACCEPTED
REQ-ARTLAYOUT-007,NAO_FUNCIONAL,P1,ADR-023,EPIC-026/EPIC-078,STORY-0732/STORY-0488,test_req_artlayout_007,ACCEPTED
REQ-ARTLAYOUT-008,NAO_FUNCIONAL,P1,ADR-009,EPIC-026/EPIC-039,STORY-0746,test_req_artlayout_008,ACCEPTED
REQ-ARTLAYOUT-009,NAO_FUNCIONAL,P1,ADR-023,EPIC-026/EPIC-039,STORY-0746,test_req_artlayout_009,ACCEPTED
REQ-ARTLAYOUT-010,NAO_FUNCIONAL,P0,ADR-023,EPIC-004/EPIC-026/EPIC-041,STORY-0748,test_req_artlayout_0010,ACCEPTED
REQ-AUD-001,NAO_FUNCIONAL,P0,ADR-055,EPIC-011/EPIC-075,STORY-0051/STORY-0469,test_audit_append_only_digest_and_no_sampling,PENDING
REQ-AUTH-IMPL-001,CONTRATO,P1,ADR-055,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,STORY-0748/STORY-0052,test_req_auth_impl_001,ACCEPTED
REQ-AUTH-IMPL-002,CONTRATO,P1,ADR-028,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,STORY-0748/STORY-0052,test_req_auth_impl_002,ACCEPTED
REQ-AUTH-IMPL-003,CONTRATO,P0,ADR-031,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,STORY-0748/STORY-0052,test_req_auth_impl_003,ACCEPTED
REQ-AUTH-IMPL-004,CONTRATO,P1,ADR-028,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,STORY-0748/STORY-0052,test_req_auth_impl_004,ACCEPTED
REQ-AUTH-IMPL-005,CONTRATO,P1,ADR-029,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,STORY-0748/STORY-0052,test_req_auth_impl_005,ACCEPTED
REQ-AUTH-IMPL-006,CONTRATO,P0,ADR-028,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,STORY-0748/STORY-0052,test_req_auth_impl_006,ACCEPTED
REQ-AUTH-IMPL-007,CONTRATO,P1,ADR-031,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,STORY-0036/STORY-0041/STORY-0046/STORY-0051/STORY-0748,test_req_auth_impl_007,ACCEPTED
REQ-AUTH-IMPL-008,CONTRATO,P1,ADR-028,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,STORY-0748/STORY-0052,test_req_auth_impl_008,ACCEPTED
REQ-AUTH-IMPL-009,CONTRATO,P1,ADR-055,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,STORY-0748/STORY-0052,test_req_auth_impl_009,ACCEPTED
REQ-AUTH-IMPL-010,CONTRATO,P1,ADR-031,EPIC-008/EPIC-009/EPIC-010/EPIC-011/EPIC-041,STORY-0749/STORY-0052,test_req_auth_impl_0010,ACCEPTED
REQ-BAT-001,FUNCIONAL,P0,ADR-039,EPIC-034/EPIC-057,STORY-0741/STORY-0352,test_independent_components_partial_success_retry_subset,ACCEPTED
REQ-BEX-001,FUNCIONAL,P1,ADR-039,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,STORY-0024/STORY-0099/STORY-0106/STORY-0203/STORY-0223/STORY-0407/STORY-0414/STORY-0421/STORY-0428/STORY-0435,test_batch_execution_decision_01,ACCEPTED
REQ-BEX-002,FUNCIONAL,P1,ADR-039,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,STORY-0743/STORY-0097/STORY-0104/STORY-0405/STORY-0412/STORY-0419/STORY-0426/STORY-0433,test_batch_execution_decision_02,ACCEPTED
REQ-BEX-003,FUNCIONAL,P1,ADR-046,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,STORY-0741/STORY-0096/STORY-0103/STORY-0220/STORY-0404/STORY-0411/STORY-0418/STORY-0425/STORY-0432,test_batch_execution_decision_03,ACCEPTED
REQ-BEX-004,FUNCIONAL,P1,ADR-012,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,STORY-0743/STORY-0097/STORY-0104/STORY-0405/STORY-0412/STORY-0419/STORY-0426/STORY-0433,test_batch_execution_decision_04,ACCEPTED
REQ-BEX-005,FUNCIONAL,P1,ADR-038,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,STORY-0741/STORY-0096/STORY-0103/STORY-0220/STORY-0404/STORY-0411/STORY-0418/STORY-0425/STORY-0432,test_batch_execution_decision_05,ACCEPTED
REQ-BEX-006,FUNCIONAL,P1,ADR-038,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,STORY-0024/STORY-0097/STORY-0104/STORY-0743/STORY-0405/STORY-0412/STORY-0419/STORY-0426/STORY-0433,test_batch_execution_decision_06,ACCEPTED
REQ-BEX-007,FUNCIONAL,P1,ADR-038,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,STORY-0743/STORY-0098/STORY-0105/STORY-0406/STORY-0413/STORY-0420/STORY-0427/STORY-0434,test_batch_execution_decision_07,ACCEPTED
REQ-BEX-008,FUNCIONAL,P1,ADR-037,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,STORY-0743/STORY-0098/STORY-0105/STORY-0406/STORY-0413/STORY-0420/STORY-0427/STORY-0434,test_batch_execution_decision_08,ACCEPTED
REQ-BEX-009,FUNCIONAL,P1,ADR-040,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,STORY-0743/STORY-0098/STORY-0105/STORY-0406/STORY-0413/STORY-0420/STORY-0427/STORY-0434,test_batch_execution_decision_09,ACCEPTED
REQ-BEX-010,FUNCIONAL,P1,ADR-039,EPIC-005/EPIC-018/EPIC-019/EPIC-034/EPIC-037/EPIC-065/EPIC-066/EPIC-067/EPIC-068/EPIC-069,STORY-0743/STORY-0097/STORY-0104/STORY-0405/STORY-0412/STORY-0419/STORY-0426/STORY-0433,test_batch_execution_decision_10,ACCEPTED
REQ-BKP-001,NAO_FUNCIONAL,P0,ADR-018,EPIC-049/EPIC-071,STORY-0297/STORY-0446,test_backupset_consistency_manifest_external_roots,PENDING
REQ-BKP-002,NAO_FUNCIONAL,P0,ADR-025,EPIC-071/EPIC-072,STORY-0449/STORY-0453,test_isolated_restore_drill_integrity_rpo_rto,PENDING
REQ-CAC-001,FUNCIONAL,P1,ADR-047,EPIC-049/EPIC-061,STORY-0297/STORY-0380,test_content_addressed_cache_license_retention_lineage_gc,PENDING
REQ-CAT-001,FUNCIONAL,P1,ADR-025,EPIC-012/EPIC-034,STORY-0718/STORY-0203,test_catalog_190k_metadata_pagination_search,PENDING
REQ-CIT-001,GOVERNANCA,P1,ADR-037,EPIC-007/EPIC-042/EPIC-109,STORY-0032/STORY-0251/STORY-0679,citation_cff_validation,PENDING
REQ-CLASSICPROFILE-001,NAO_FUNCIONAL,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,STORY-0735,test_req_classicprofile_001,ACCEPTED
REQ-CLASSICPROFILE-002,NAO_FUNCIONAL,P1,ADR-025,EPIC-002/EPIC-022/EPIC-028,STORY-0735,test_req_classicprofile_002,ACCEPTED
REQ-CLASSICPROFILE-003,NAO_FUNCIONAL,P1,ADR-039,EPIC-002/EPIC-022/EPIC-028,STORY-0735,test_req_classicprofile_003,ACCEPTED
REQ-CLASSICPROFILE-004,NAO_FUNCIONAL,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,STORY-0690/STORY-0122/STORY-0164,test_req_classicprofile_004,ACCEPTED
REQ-CLASSICPROFILE-005,NAO_FUNCIONAL,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,STORY-0736,test_req_classicprofile_005,ACCEPTED
REQ-CLASSICPROFILE-006,NAO_FUNCIONAL,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,STORY-0009/STORY-0124/STORY-0166,test_req_classicprofile_006,ACCEPTED
REQ-CLASSICPROFILE-007,NAO_FUNCIONAL,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,STORY-0736,test_req_classicprofile_007,ACCEPTED
REQ-CLASSICPROFILE-008,NAO_FUNCIONAL,P1,ADR-045,EPIC-002/EPIC-022/EPIC-028,STORY-0009/STORY-0127/STORY-0169,test_req_classicprofile_008,ACCEPTED
REQ-CLASSICPROFILE-009,NAO_FUNCIONAL,P1,ADR-044,EPIC-002/EPIC-022/EPIC-028,STORY-0736,test_req_classicprofile_009,ACCEPTED
REQ-CLASSICPROFILE-010,NAO_FUNCIONAL,P0,ADR-044,EPIC-002/EPIC-022/EPIC-028,STORY-0009/STORY-0124/STORY-0166,test_req_classicprofile_0010,ACCEPTED
REQ-CRS-001,CONTRATO,P0,ADR-041,EPIC-063/EPIC-093/EPIC-094,STORY-0391/STORY-0570/STORY-0577,test_pixel_reference_target_discovery_coordinate_roundtrip,PENDING
REQ-CRS-002,CONTRATO,P0,ADR-041,EPIC-004/EPIC-093/EPIC-094,STORY-0701/STORY-0570/STORY-0578,test_explicit_axis_order_and_adapter_normalization,PENDING
REQ-CRS-003,CONTRATO,P0,ADR-041,EPIC-024/EPIC-093/EPIC-094,STORY-0729/STORY-0571/STORY-0579,test_units_precision_tolerance_and_no_premature_rounding,PENDING
REQ-CRS-004,CONTRATO,P0,ADR-041,EPIC-093/EPIC-094/EPIC-096,STORY-0570/STORY-0580/STORY-0591,test_aoi_aware_working_crs_selection_distortion_and_explanation,PENDING
REQ-CRS-005,CONTRATO,P0,ADR-041,EPIC-058/EPIC-094/EPIC-096,STORY-0358/STORY-0581/STORY-0591,test_reference_crs_fail_closed_metadata_area_operation_roundtrip,PENDING
REQ-CRS-006,CONTRATO,P1,ADR-025,EPIC-044/EPIC-094/EPIC-096,STORY-0261/STORY-0581/STORY-0591,test_technical_canonical_output_and_optional_web_derivative_lineage,PENDING
REQ-CRS-007,CONTRATO,P1,ADR-034,EPIC-058/EPIC-094/EPIC-096,STORY-0358/STORY-0582/STORY-0591,test_web_service_capability_crs_negotiation_and_actual_response_validation,PENDING
REQ-DBSCHEMA-001,CONTRATO,P1,ADR-019,EPIC-012/EPIC-013,STORY-0056/STORY-0062,test_req_dbschema_001,ACCEPTED
REQ-DBSCHEMA-002,CONTRATO,P1,ADR-019,EPIC-004/EPIC-012,STORY-0718,test_req_dbschema_002,ACCEPTED
REQ-DBSCHEMA-003,CONTRATO,P0,ADR-043,EPIC-008/EPIC-012,STORY-0718,test_req_dbschema_003,ACCEPTED
REQ-DBSCHEMA-004,CONTRATO,P1,ADR-019,EPIC-004/EPIC-012,STORY-0718,test_req_dbschema_004,ACCEPTED
REQ-DBSCHEMA-005,CONTRATO,P1,ADR-041,EPIC-012/EPIC-021,STORY-0056/STORY-0115,test_req_dbschema_005,ACCEPTED
REQ-DBSCHEMA-006,CONTRATO,P1,ADR-019,EPIC-012/EPIC-026,STORY-0733,test_req_dbschema_006,ACCEPTED
REQ-DBSCHEMA-007,CONTRATO,P1,ADR-019,EPIC-004/EPIC-012,STORY-0701/STORY-0056,test_req_dbschema_007,ACCEPTED
REQ-DBSCHEMA-008,CONTRATO,P1,ADR-019,EPIC-004/EPIC-012/EPIC-014,STORY-0701/STORY-0056/STORY-0068,test_req_dbschema_008,ACCEPTED
REQ-DBSCHEMA-009,CONTRATO,P1,ADR-020,EPIC-012/EPIC-014,STORY-0721,test_req_dbschema_009,ACCEPTED
REQ-DBSCHEMA-010,NAO_FUNCIONAL,P1,ADR-026,EPIC-013/EPIC-107,STORY-0062/STORY-0666,test_req_dbschema_0010,ACCEPTED
REQ-DEL-001,FUNCIONAL,P1,ADR-014,EPIC-003/EPIC-086,STORY-0012/STORY-0752,test_walking_skeleton_end_to_end_and_vertical_slice_definition_of_done,PENDING
REQ-DEL-002,FUNCIONAL,P1,ADR-057,EPIC-086/EPIC-087,STORY-0752/STORY-0540,test_private_operational_baseline_scope_cpu_only_clean_install,PENDING
REQ-DEV-001,FUNCIONAL,P0,ADR-001,EPIC-003/EPIC-092,STORY-0012/STORY-0566,test_host_container_ci_contract_and_no_implicit_downloads,PENDING
REQ-DIS-001,FUNCIONAL,P0,ADR-047,EPIC-054,STORY-0330,test_provisional_components_never_create_operational_edge,PENDING
REQ-DIS-002,FUNCIONAL,P0,ADR-047,EPIC-019/EPIC-055,STORY-0105/STORY-0338,test_budgeted_neighbor_retrieval_recall_and_unexamined_state,PENDING
REQ-EPIC-001,NAO_FUNCIONAL,P0,ADR-002,EPIC-086/EPIC-092,STORY-0534/STORY-0565,test_executable_foundation_gate_clean_room_end_to_end,PENDING
REQ-EPIC-012,FUNCIONAL,P0,ADR-026,EPIC-005,STORY-0706,migration_upgrade_rollback,PENDING
REQ-EPIC-014,FUNCIONAL,P0,ADR-016,EPIC-014/EPIC-016,STORY-0070/STORY-0084,job_state_idempotency_cancel_resume,PENDING
REQ-EPIC-015,FUNCIONAL,P0,ADR-018,EPIC-015/EPIC-016,STORY-0075/STORY-0082,test_small_messages_duplicate_redelivery_authoritative_state,PENDING
REQ-EPIC-016,FUNCIONAL,P0,ADR-038,EPIC-016/EPIC-030,STORY-0082/STORY-0178,test_retry_classification_budget_idempotency_no_quality_relaxation,PENDING
REQ-EPIC-017,FUNCIONAL,P0,ADR-038,EPIC-018/EPIC-049,STORY-0096/STORY-0296,test_checkpoint_compatibility_invalidation_lineage,PENDING
REQ-EPIC-018,FUNCIONAL,P0,ADR-038,EPIC-016/EPIC-018/EPIC-039,STORY-0084/STORY-0098/STORY-0234,test_cooperative_cancel_containment_no_partial_publish,PENDING
REQ-EPIC-021,FUNCIONAL,P0,ADR-055,EPIC-021/EPIC-024,STORY-0729,geo_regression_corpus_and_strong_geometric_verifier,PENDING
REQ-EPIC-031,NAO_FUNCIONAL,P0,ADR-013,EPIC-004/EPIC-031,STORY-0738,generated_client_component_accessibility_e2e,PENDING
REQ-EPIC-035,FUNCIONAL,P0,ADR-046,EPIC-034/EPIC-035,STORY-0742/STORY-0210,test_reviewable_gate_and_hard_gate_non_override,PENDING
REQ-EPIC-037,FUNCIONAL,P0,ADR-002,EPIC-030/EPIC-034/EPIC-037/EPIC-070,STORY-0180/STORY-0203/STORY-0223/STORY-0442,test_success_failure_name_relative_path_exports,PENDING
REQ-EPIC-038,FUNCIONAL,P0,ADR-002,EPIC-030/EPIC-036,STORY-0178/STORY-0216,test_failure_taxonomy_evidence_remediation_versioning,PENDING
REQ-EPIC-039,NAO_FUNCIONAL,P0,ADR-027,EPIC-013/EPIC-072,STORY-0063/STORY-0452,test_req_epic_039,PENDING
REQ-EPIC-041,FUNCIONAL,P0,ADR-002,EPIC-005/EPIC-041,STORY-0749,malicious_file_suite,PENDING
REQ-EPIC-042,FUNCIONAL,P0,ADR-002,EPIC-007/EPIC-042/EPIC-080/EPIC-109,STORY-0032/STORY-0251/STORY-0500/STORY-0679,test_layered_spdx_reuse_license_notices_dependency_and_asset_compatibility,PENDING
REQ-EPIC-043,FUNCIONAL,P1,ADR-037,EPIC-042/EPIC-085/EPIC-089,STORY-0251/STORY-0529/STORY-0550,test_release_train_visibility_license_sanitization_and_beta_gate,PENDING
REQ-EPIC-062,FUNCIONAL,P0,ADR-002,EPIC-018/EPIC-034/EPIC-062,STORY-0099/STORY-0203/STORY-0385,test_batch_auto_completion_nonblocking_review_queue,PENDING
REQ-EPIC-070,FUNCIONAL,P0,ADR-002,EPIC-034/EPIC-037/EPIC-049/EPIC-070,STORY-0743/STORY-0299/STORY-0440,test_immutable_snapshots_current_view_historical_metrics,PENDING
REQ-EPIC-076,FUNCIONAL,P0,ADR-032,EPIC-008/EPIC-078,STORY-0039/STORY-0487,test_secret_permissions_rotation_redaction_fail_closed,PENDING
REQ-EPIC-088,FUNCIONAL,P1,ADR-009,EPIC-050/EPIC-088,STORY-0751/STORY-0546,test_experimental_lab_disabled_and_cannot_publish_accepted_artifactset,PENDING
REQ-EST-001,FUNCIONAL,P0,ADR-045,EPIC-024/EPIC-051,STORY-0730/STORY-0310,test_usac_magsac_default_explicit_ransac_no_silent_switch,PENDING
REQ-FRZ-001,GOVERNANCA,P0,ADR-057,EPIC-001/EPIC-092,STORY-0688/STORY-0566,test_foundation_baseline_digest_controlled_change_and_adr_supersession,PENDING
REQ-FRZ-002,GOVERNANCA,P0,ADR-057,EPIC-005/EPIC-092,STORY-0709/STORY-0566,test_sprint_zero_authorization_and_functional_foundation_gate_blocking,PENDING
REQ-FRZ-003,GOVERNANCA,P0,ADR-057,EPIC-091/EPIC-092,STORY-0561/STORY-0566,test_issue_adr_decision_package_impact_boundary_and_no_silent_divergence,PENDING
REQ-FRZ-004,GOVERNANCA,P0,ADR-057,EPIC-001/EPIC-092,STORY-0688/STORY-0566,test_foundation_closure_evidence_set_and_material_reopening_criteria,PENDING
REQ-FS-001,FUNCIONAL,P0,ADR-014,EPIC-012/EPIC-031/EPIC-041,STORY-0749/STORY-0185,test_directory_picker_path_traversal_symlink_escape,PENDING
REQ-FS1-001,FUNCIONAL,P1,ADR-044,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,STORY-0738/STORY-0068/STORY-0110/STORY-0115/STORY-0122/STORY-0129/STORY-0136/STORY-0150,test_first_functional_slice_decision_01,PENDING
REQ-FS1-002,FUNCIONAL,P1,ADR-044,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,STORY-0738/STORY-0111/STORY-0130,test_first_functional_slice_decision_02,PENDING
REQ-FS1-003,FUNCIONAL,P0,ADR-040,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,STORY-0738/STORY-0111/STORY-0130,test_first_functional_slice_decision_03,PENDING
REQ-FS1-004,FUNCIONAL,P1,ADR-044,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,STORY-0738/STORY-0068/STORY-0110/STORY-0115/STORY-0122/STORY-0129/STORY-0136/STORY-0150,test_first_functional_slice_decision_04,PENDING
REQ-FS1-005,FUNCIONAL,P1,ADR-055,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,STORY-0709/STORY-0073/STORY-0113/STORY-0120/STORY-0127/STORY-0134/STORY-0141/STORY-0155/STORY-0189,test_first_functional_slice_decision_05,PENDING
REQ-FS1-006,FUNCIONAL,P1,ADR-045,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,STORY-0019/STORY-0024/STORY-0738/STORY-0111/STORY-0117/STORY-0124/STORY-0131/STORY-0138/STORY-0152,test_first_functional_slice_decision_06,PENDING
REQ-FS1-007,FUNCIONAL,P0,ADR-046,EPIC-004/EPIC-005/EPIC-014/EPIC-020/EPIC-021/EPIC-022/EPIC-023/EPIC-024/EPIC-026/EPIC-031,STORY-0709/STORY-0073/STORY-0113/STORY-0120/STORY-0127/STORY-0134/STORY-0141/STORY-0155/STORY-0189,test_first_functional_slice_decision_07,PENDING
