risk_id,severity,category,risk,trigger,likelihood,impact,mitigation,contingency,owner_role,evidence_gate,residual_risk,status
RISK-G-012,Medium,Frontend,Browser/toolchain incompatível quebra workspace ou cliente,cross-browser/generation gate fails,MEASURED_DURING_IMPLEMENTATION,Medium,ADR-013/014; CTO-003/004,pin supported browsers/toolchain and rollback build,Frontend,G-CTO-09,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-013,High,Lock-in,PostGIS-specific model torna saída custosa,replacement requested or extension limits,MEASURED_DURING_IMPLEMENTATION,High,ADR-018/019; CTO-004,open exports and migration ADR,Arquiteto,G-CTO-01,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-014,Medium,Lock-in,Celery/RabbitMQ semantics vazam ao domínio,framework types or broker state becomes authoritative,MEASURED_DURING_IMPLEMENTATION,Medium,ADR-004/005/036; CTO-004,TaskEnvelope/outbox boundary and conformance tests,Arquiteto,G-CTO-02,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-015,High,Scale,Carga excede teto de escala vertical da instância,SLO fails after supported hardware class,MEASURED_DURING_IMPLEMENTATION,High,ADR-002/039; CTO-005,"reject admission, larger class, or new scale-out ADR",Tech Lead,G-CTO-02,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-016,High,Scale,Claims de 40–300 imagens são publicados sem corpus e classe,missing benchmark evidence,MEASURED_DURING_IMPLEMENTATION,High,ADR-053; CTO-001/005,block claim and release,Reviewer,G-CTO-02,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-017,High,Cost,TCO ou custo unitário excede orçamento do Owner,monthly or unit cost variance over 20%,MEASURED_DURING_IMPLEMENTATION,High,CTO-006,"reforecast, retention/capacity tuning without relaxing quality",Product Owner,G-CTO-03,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-018,High,Cost,"Crescimento de originais, artifacts e backups torna storage dominante",GiB-month trend exceeds plan,MEASURED_DURING_IMPLEMENTATION,High,ADR-023/025/027; CTO-006/010,"retention classes, recomputation, capacity purchase",Product Owner,G-CTO-03,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-019,Medium,GPU cost,GPU aumenta custo sem reduzir unidade econômica ou fila,cost assessment lacks positive case,MEASURED_DURING_IMPLEMENTATION,Medium,ADR-051/052; CTO-007,remain CPU-only,Product Owner,G-CTO-03,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-020,High,Latency,"API, SSE ou fila perde responsividade sob processamento",SLI breaches catalog targets,MEASURED_DURING_IMPLEMENTATION,High,ADR-012/039/040/054; CTO-008/009,"admission control, isolation and capacity correction",DevOps,G-CTO-08,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-021,High,Queue,Aging/fairness falha e classe interativa sofre starvation,oldest admitted interactive over 300 seconds,MEASURED_DURING_IMPLEMENTATION,High,ADR-039; CTO-009,"reserve capacity, breaker, policy rollback",Backend,G-CTO-08,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-022,Critical,Backup,RPO/RTO não é atingido ou BackupSet diverge,restore drill failure,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-027; CTO-010,"block real data, repair backup, repeat drill",DevOps,G-CTO-04,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-023,Critical,Migration,Migration destrutiva elimina rollback,contract phase executed without gate,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-026/035; CTO-011/015,restore or forward-fix; block upgrade,Tech Lead,G-CTO-05,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-024,High,Versioning,Mixed versions escrevem schemas incompatíveis,writer version mismatch,MEASURED_DURING_IMPLEMENTATION,High,ADR-026/035; CTO-011/015,"single writer, stop rollout, restore compatibility",DevOps,G-CTO-05,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-025,Critical,Audit,Evento administrativo ou científico não entra no audit ledger,coverage or sequence gap,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-055; CTO-012,"block release, reconstruct evidence, incident",Security,G-CTO-06,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-026,High,Observability,Cardinalidade ou payload sensível torna telemetry cara/insegura,"label growth, cost or leak test failure",MEASURED_DURING_IMPLEMENTATION,High,ADR-054/055; CTO-012/014,"drop offending signals, redaction, bounded dimensions",DevOps,G-CTO-08,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-027,Critical,Security,"Conta, sessão, PAT ou autorização é comprometida",security test or incident,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-028/030/031; CTO-013,"revoke, rotate, isolate, incident response",Security,G-CTO-06,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-028,Critical,Security,"Path traversal, symlink escape ou artifact serving indevido",security regression failure,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-021/032; CTO-013,"fail closed, quarantine root, rotate credentials",Security,G-CTO-06,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-029,Critical,Supply chain,"Imagem, pacote, ModelPack ou release não verificável é executado",signature/SBOM/provenance missing,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-033/034/052/057; CTO-013,block deployment and restore trusted digest,Security,G-CTO-09,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-030,Critical,LGPD,Dados pessoais são coletados sem finalidade/base ou além do necessário,control matrix/ROPA absent or leak,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-055; CTO-014,"block collection, contain, delete when lawful, incident process",Product Owner,G-CTO-07,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-031,High,LGPD,"Retenção, exclusão ou direitos divergem entre DB e artifacts",request or GC reconciliation failure,MEASURED_DURING_IMPLEMENTATION,High,ADR-025/027/055; CTO-010/014,"quarantine deletion, reconcile references, legal review",Product Owner,G-CTO-07,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-032,Critical,Privacy,"Secret, raster, geolocation ou path absoluto entra em log/support bundle",redaction test failure,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-055; CTO-012/013/014,"revoke/rotate, purge bundle, incident response",Security,G-CTO-06,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-033,Critical,Scientific quality,Falso positivo geométrico é aceito,BP-002 blind holdout breach,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-046/053; CTO-001,"rollback profile, quarantine outputs, revalidate",Geoprocessamento,G-CTO-02,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-034,Critical,AI,AI publica ou influencia aceite sem SGV independente,protocol/conformance violation,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-051/052; CTO-007/013,"disable backend, invalidate outputs, audit incident",IA,G-CTO-06,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-035,High,Licensing,"Provider, model or artifact perde attribution/licença válida",license record missing/change,MEASURED_DURING_IMPLEMENTATION,High,ADR-047/052/056; CTO-003/004,disable distribution/provider and remediate records,Product Owner,G-CTO-09,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-036,High,Operations,Complexidade excede capacidade do mantenedor solo,"unresolved alerts, slow recovery, WIP growth",MEASURED_DURING_IMPLEMENTATION,High,ADR-008/034/054; CTO-006/012,"reduce WIP, automate runbook, narrow supported envelope",Tech Lead,G-CTO-01,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-037,Medium,Incident response,Alert fatigue ou runbook incompleto atrasa contenção,unactionable alert or missed drill,MEASURED_DURING_IMPLEMENTATION,Medium,ADR-054/055; CTO-012/013,tune symptom alerts and exercise incident runbook,DevOps,G-CTO-08,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-038,Critical,Release,"Publicação ocorre sem gates de segurança, restore ou rollback",release evidence incomplete,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-057; CTO-010/013/015,block/revoke release and restore previous digest,Reviewer,G-CTO-09,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-039,High,Versioning,"Artifact, Prompt Bundle ou ModelPack incompatível é lido silenciosamente",schema/digest compatibility failure,MEASURED_DURING_IMPLEMENTATION,High,ADR-023/026/052; CTO-015,"fail closed, pin previous version, migrate explicitly",Arquiteto,G-CTO-05,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-040,High,Data consistency,"Banco, filesystem e broker divergem após crash",reconciliation or outbox lag failure,MEASURED_DURING_IMPLEMENTATION,High,ADR-018/020/023/024/037; CTO-002/009/010,"reconcile from DB/manifests, quarantine partials, replay outbox",Backend,G-CTO-04,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
