story_id,issue_id,task_id,epic_id,sprint,domain,bounded_context,bounded_context_name,type,status,role,title,dependencies,requirements,file,governing_adrs,requirement_basis,criterion_ids,rr_status,ddd_status,phase_f_status,phase_g_status,cto_risk_tier
STORY-0011,ISSUE-0121,TASK-0011,EPIC-003,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Arquiteto,"Definir escopo, contratos e invariantes: monorepo greenfield com CLI/API/Web mínimos e checks reproduzíveis",STORY-0005,REQ-TOP-001,STORY-0011-ISSUE-0121-definir-escopo-contratos-e-invariantes-monorepo-greenfield-com-cli-api-web.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014,MIXED,AC-ISSUE-0121-01/AC-ISSUE-0121-02/AC-ISSUE-0121-03/AC-ISSUE-0121-04,PASS,PASS,PASS,PASS,HIGH
STORY-0012,ISSUE-0122,TASK-0012,EPIC-003,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,Materializar a fundação executável: monorepo greenfield com CLI/API/Web mínimos e checks reproduzíveis,STORY-0011,REQ-DEL-001/REQ-DEV-001,STORY-0012-ISSUE-0122-materializar-a-fundacao-executavel-monorepo-greenfield-com-cli-api-web-min.md,ADR-001/ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014,MIXED,AC-ISSUE-0122-01/AC-ISSUE-0122-02/AC-ISSUE-0122-03/AC-ISSUE-0122-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0013,ISSUE-0123,TASK-0013,EPIC-003,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,DevOps,Automatizar validações e controles: monorepo greenfield com CLI/API/Web mínimos e checks reproduzíveis,STORY-0011,,STORY-0013-ISSUE-0123-automatizar-validacoes-e-controles-monorepo-greenfield-com-cli-api-web-min.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-033/ADR-034,DERIVED_CONTROL,AC-ISSUE-0123-01/AC-ISSUE-0123-02/AC-ISSUE-0123-03/AC-ISSUE-0123-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0014,ISSUE-0124,TASK-0014,EPIC-003,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,Integrar a capacidade ao fluxo do repositório: monorepo greenfield com CLI/API/Web mínimos e checks reproduzíveis,STORY-0012/STORY-0013,,STORY-0014-ISSUE-0124-integrar-a-capacidade-ao-fluxo-do-repositorio-monorepo-greenfield-com-cli.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011,DERIVED_CONTROL,AC-ISSUE-0124-01/AC-ISSUE-0124-02/AC-ISSUE-0124-03/AC-ISSUE-0124-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0015,ISSUE-0125,TASK-0015,EPIC-003,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Reviewer,Validar evidência e realizar auditoria final: monorepo greenfield com CLI/API/Web mínimos e checks reproduzíveis,STORY-0014,,STORY-0015-ISSUE-0125-validar-evidencia-e-realizar-auditoria-final-monorepo-greenfield-com-cli-a.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011,DERIVED_CONTROL,AC-ISSUE-0125-01/AC-ISSUE-0125-02/AC-ISSUE-0125-03/AC-ISSUE-0125-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0016,ISSUE-0126,TASK-0016,EPIC-004,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Arquiteto,"Consolidar slices e liberar integração: OpenAPI, cliente TypeScript e contratos CLI/jobs/eventos/artefatos/ProcessingPlan/QualityReport/FailureDiagnostic versionados",STORY-0701/STORY-0702,,STORY-0016-ISSUE-0126-definir-escopo-contratos-e-invariantes-openapi-cliente-typescript-e-contra.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-013/ADR-014/ADR-015/ADR-021/ADR-023/ADR-055,DERIVED_CONTROL,AC-ISSUE-0126-01/AC-ISSUE-0126-02/AC-ISSUE-0126-03/AC-ISSUE-0126-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0017,ISSUE-0127,TASK-0017,EPIC-004,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,"Consolidar slices e liberar integração: OpenAPI, cliente TypeScript e contratos CLI/jobs/eventos/artefatos/ProcessingPlan/QualityReport/FailureDiagnostic versionados",STORY-0703/STORY-0704/STORY-0705,,STORY-0017-ISSUE-0127-materializar-a-fundacao-executavel-openapi-cliente-typescript-e-contratos.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-013/ADR-014/ADR-015/ADR-021/ADR-023/ADR-055,DERIVED_CONTROL,AC-ISSUE-0127-01/AC-ISSUE-0127-02/AC-ISSUE-0127-03/AC-ISSUE-0127-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0018,ISSUE-0128,TASK-0018,EPIC-004,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,DevOps,"Automatizar validações e controles: OpenAPI, cliente TypeScript e contratos CLI/jobs/eventos/artefatos/ProcessingPlan/QualityReport/FailureDiagnostic versionados",STORY-0016,,STORY-0018-ISSUE-0128-automatizar-validacoes-e-controles-openapi-cliente-typescript-e-contratos.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-013/ADR-014/ADR-015/ADR-021/ADR-023/ADR-033/ADR-034/ADR-055,DERIVED_CONTROL,AC-ISSUE-0128-01/AC-ISSUE-0128-02/AC-ISSUE-0128-03/AC-ISSUE-0128-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0019,ISSUE-0129,TASK-0019,EPIC-004,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,"Integrar a capacidade ao fluxo do repositório: OpenAPI, cliente TypeScript e contratos CLI/jobs/eventos/artefatos/ProcessingPlan/QualityReport/FailureDiagnostic versionados",STORY-0017/STORY-0018,REQ-FS1-006,STORY-0019-ISSUE-0129-integrar-a-capacidade-ao-fluxo-do-repositorio-openapi-cliente-typescript-e.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-013/ADR-014/ADR-015/ADR-021/ADR-023/ADR-045/ADR-055,MIXED,AC-ISSUE-0129-01/AC-ISSUE-0129-02/AC-ISSUE-0129-03/AC-ISSUE-0129-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0020,ISSUE-0130,TASK-0020,EPIC-004,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Reviewer,"Validar evidência e realizar auditoria final: OpenAPI, cliente TypeScript e contratos CLI/jobs/eventos/artefatos/ProcessingPlan/QualityReport/FailureDiagnostic versionados",STORY-0019,,STORY-0020-ISSUE-0130-validar-evidencia-e-realizar-auditoria-final-openapi-cliente-typescript-e.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-013/ADR-014/ADR-015/ADR-021/ADR-023/ADR-055,DERIVED_CONTROL,AC-ISSUE-0130-01/AC-ISSUE-0130-02/AC-ISSUE-0130-03/AC-ISSUE-0130-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0021,ISSUE-0131,TASK-0021,EPIC-005,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Arquiteto,"Consolidar slices e liberar integração: migrations, CI, secret/dependency scan e telemetria mínima",STORY-0706/STORY-0707,,STORY-0021-ISSUE-0131-definir-escopo-contratos-e-invariantes-migrations-ci-secret-dependency-sca.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-018/ADR-023/ADR-024/ADR-026,DERIVED_CONTROL,AC-ISSUE-0131-01/AC-ISSUE-0131-02/AC-ISSUE-0131-03/AC-ISSUE-0131-04,PASS,PASS,PASS,PASS,HIGH
STORY-0022,ISSUE-0132,TASK-0022,EPIC-005,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,"Consolidar slices e liberar integração: migrations, CI, secret/dependency scan e telemetria mínima",STORY-0708/STORY-0709/STORY-0710/STORY-0711,,STORY-0022-ISSUE-0132-materializar-a-fundacao-executavel-migrations-ci-secret-dependency-scan-e.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-018/ADR-023/ADR-024/ADR-026,DERIVED_CONTROL,AC-ISSUE-0132-01/AC-ISSUE-0132-02/AC-ISSUE-0132-03/AC-ISSUE-0132-04,PASS,PASS,PASS,PASS,HIGH
STORY-0023,ISSUE-0133,TASK-0023,EPIC-005,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,DevOps,"Automatizar validações e controles: migrations, CI, secret/dependency scan e telemetria mínima",STORY-0021,,STORY-0023-ISSUE-0133-automatizar-validacoes-e-controles-migrations-ci-secret-dependency-scan-e.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-018/ADR-023/ADR-024/ADR-026/ADR-033/ADR-034,DERIVED_CONTROL,AC-ISSUE-0133-01/AC-ISSUE-0133-02/AC-ISSUE-0133-03/AC-ISSUE-0133-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0024,ISSUE-0134,TASK-0024,EPIC-005,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,"Integrar a capacidade ao fluxo do repositório: migrations, CI, secret/dependency scan e telemetria mínima",STORY-0022/STORY-0023,REQ-BEX-001/REQ-BEX-006/REQ-FS1-006,STORY-0024-ISSUE-0134-integrar-a-capacidade-ao-fluxo-do-repositorio-migrations-ci-secret-depende.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-018/ADR-023/ADR-024/ADR-026/ADR-038/ADR-039/ADR-045,MIXED,AC-ISSUE-0134-01/AC-ISSUE-0134-02/AC-ISSUE-0134-03/AC-ISSUE-0134-04,PASS,PASS,PASS,PASS,HIGH
STORY-0025,ISSUE-0135,TASK-0025,EPIC-005,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Reviewer,"Validar evidência e realizar auditoria final: migrations, CI, secret/dependency scan e telemetria mínima",STORY-0024,,STORY-0025-ISSUE-0135-validar-evidencia-e-realizar-auditoria-final-migrations-ci-secret-dependen.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-018/ADR-023/ADR-024/ADR-026,DERIVED_CONTROL,AC-ISSUE-0135-01/AC-ISSUE-0135-02/AC-ISSUE-0135-03/AC-ISSUE-0135-04,PASS,PASS,PASS,PASS,HIGH
STORY-0026,ISSUE-0136,TASK-0026,EPIC-006,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Arquiteto,"Definir escopo, contratos e invariantes: catálogo de conhecimento técnico e decomposição das capacidades de processamento",STORY-0005,,STORY-0026-ISSUE-0136-definir-escopo-contratos-e-invariantes-catalogo-de-conhecimento-tecnico-e.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011,DERIVED_CONTROL,AC-ISSUE-0136-01/AC-ISSUE-0136-02/AC-ISSUE-0136-03/AC-ISSUE-0136-04,PASS,PASS,PASS,PASS,HIGH
STORY-0027,ISSUE-0137,TASK-0027,EPIC-006,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,Materializar a fundação executável: catálogo de conhecimento técnico e decomposição das capacidades de processamento,STORY-0026,REQ-AI-007/REQ-TST-001,STORY-0027-ISSUE-0137-materializar-a-fundacao-executavel-catalogo-de-conhecimento-tecnico-e-deco.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-051/ADR-053,MIXED,AC-ISSUE-0137-01/AC-ISSUE-0137-02/AC-ISSUE-0137-03/AC-ISSUE-0137-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0028,ISSUE-0138,TASK-0028,EPIC-006,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,DevOps,Automatizar validações e controles: catálogo de conhecimento técnico e decomposição das capacidades de processamento,STORY-0026,,STORY-0028-ISSUE-0138-automatizar-validacoes-e-controles-catalogo-de-conhecimento-tecnico-e-deco.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-033/ADR-034,DERIVED_CONTROL,AC-ISSUE-0138-01/AC-ISSUE-0138-02/AC-ISSUE-0138-03/AC-ISSUE-0138-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0029,ISSUE-0139,TASK-0029,EPIC-006,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,Integrar a capacidade ao fluxo do repositório: catálogo de conhecimento técnico e decomposição das capacidades de processamento,STORY-0027/STORY-0028,,STORY-0029-ISSUE-0139-integrar-a-capacidade-ao-fluxo-do-repositorio-catalogo-de-conhecimento-tec.md,ADR-003/ADR-006/ADR-007/ADR-008,DERIVED_CONTROL,AC-ISSUE-0139-01/AC-ISSUE-0139-02/AC-ISSUE-0139-03/AC-ISSUE-0139-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0030,ISSUE-0140,TASK-0030,EPIC-006,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Reviewer,Validar evidência e realizar auditoria final: catálogo de conhecimento técnico e decomposição das capacidades de processamento,STORY-0029,,STORY-0030-ISSUE-0140-validar-evidencia-e-realizar-auditoria-final-catalogo-de-conhecimento-tecn.md,ADR-003/ADR-006/ADR-007/ADR-008,DERIVED_CONTROL,AC-ISSUE-0140-01/AC-ISSUE-0140-02/AC-ISSUE-0140-03/AC-ISSUE-0140-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0031,ISSUE-0141,TASK-0031,EPIC-007,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Arquiteto,"Definir escopo, contratos e invariantes: LICENSE, CITATION.cff, contribuição, DCO/CLA e gate de publicação definidos",STORY-0005,,STORY-0031-ISSUE-0141-definir-escopo-contratos-e-invariantes-license-citation-cff-contribuicao-d.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011,DERIVED_CONTROL,AC-ISSUE-0141-01/AC-ISSUE-0141-02/AC-ISSUE-0141-03/AC-ISSUE-0141-04,PASS,PASS,PASS,PASS,HIGH
STORY-0032,ISSUE-0142,TASK-0032,EPIC-007,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,"Materializar a fundação executável: LICENSE, CITATION.cff, contribuição, DCO/CLA e gate de publicação definidos",STORY-0031,REQ-CIT-001/REQ-EPIC-042/REQ-OSS-001/REQ-PUB-002,STORY-0032-ISSUE-0142-materializar-a-fundacao-executavel-license-citation-cff-contribuicao-dco-c.md,ADR-002/ADR-003/ADR-006/ADR-007/ADR-008/ADR-037/ADR-056/ADR-057,MIXED,AC-ISSUE-0142-01/AC-ISSUE-0142-02/AC-ISSUE-0142-03/AC-ISSUE-0142-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0033,ISSUE-0143,TASK-0033,EPIC-007,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,DevOps,"Automatizar validações e controles: LICENSE, CITATION.cff, contribuição, DCO/CLA e gate de publicação definidos",STORY-0031,,STORY-0033-ISSUE-0143-automatizar-validacoes-e-controles-license-citation-cff-contribuicao-dco-c.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-033/ADR-034,DERIVED_CONTROL,AC-ISSUE-0143-01/AC-ISSUE-0143-02/AC-ISSUE-0143-03/AC-ISSUE-0143-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0034,ISSUE-0144,TASK-0034,EPIC-007,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,"Integrar a capacidade ao fluxo do repositório: LICENSE, CITATION.cff, contribuição, DCO/CLA e gate de publicação definidos",STORY-0032/STORY-0033,,STORY-0034-ISSUE-0144-integrar-a-capacidade-ao-fluxo-do-repositorio-license-citation-cff-contrib.md,ADR-003/ADR-006/ADR-007/ADR-008,DERIVED_CONTROL,AC-ISSUE-0144-01/AC-ISSUE-0144-02/AC-ISSUE-0144-03/AC-ISSUE-0144-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0035,ISSUE-0145,TASK-0035,EPIC-007,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Reviewer,"Validar evidência e realizar auditoria final: LICENSE, CITATION.cff, contribuição, DCO/CLA e gate de publicação definidos",STORY-0034,,STORY-0035-ISSUE-0145-validar-evidencia-e-realizar-auditoria-final-license-citation-cff-contribu.md,ADR-003/ADR-006/ADR-007/ADR-008,DERIVED_CONTROL,AC-ISSUE-0145-01/AC-ISSUE-0145-02/AC-ISSUE-0145-03/AC-ISSUE-0145-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0036,ISSUE-0146,TASK-0036,EPIC-008,SPRINT-002,PLT,BC-002,Identidade e Controle de Acesso,Story,planned,Arquiteto,"Definir política, estados e contratos: contas locais, bootstrap único, sessões, tokens e adapter OIDC",STORY-0020,REQ-AUTH-IMPL-007,STORY-0036-ISSUE-0146-definir-politica-estados-e-contratos-contas-locais-bootstrap-unico-sessoes.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014/ADR-016/ADR-031,MIXED,AC-ISSUE-0146-01/AC-ISSUE-0146-02/AC-ISSUE-0146-03/AC-ISSUE-0146-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0037,ISSUE-0147,TASK-0037,EPIC-008,SPRINT-002,PLT,BC-002,Identidade e Controle de Acesso,Story,planned,Backend,"Consolidar slices e liberar integração: contas locais, bootstrap único, sessões, tokens e adapter OIDC",STORY-0712/STORY-0713,,STORY-0037-ISSUE-0147-implementar-dominio-e-persistencia-contas-locais-bootstrap-unico-sessoes-t.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-016/ADR-018/ADR-019,DERIVED_CONTROL,AC-ISSUE-0147-01/AC-ISSUE-0147-02/AC-ISSUE-0147-03/AC-ISSUE-0147-04,PASS,PASS,PASS,PASS,HIGH
STORY-0038,ISSUE-0148,TASK-0038,EPIC-008,SPRINT-002,PLT,BC-002,Identidade e Controle de Acesso,Story,planned,Frontend,"Expor administração e fluxos de uso: contas locais, bootstrap único, sessões, tokens e adapter OIDC",STORY-0036,,STORY-0038-ISSUE-0148-expor-administracao-e-fluxos-de-uso-contas-locais-bootstrap-unico-sessoes.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014/ADR-016,DERIVED_CONTROL,AC-ISSUE-0148-01/AC-ISSUE-0148-02/AC-ISSUE-0148-03/AC-ISSUE-0148-04,PASS,PASS,PASS,PASS,HIGH
STORY-0039,ISSUE-0149,TASK-0039,EPIC-008,SPRINT-002,PLT,BC-002,Identidade e Controle de Acesso,Story,planned,Security,"Validar ameaças, autorização e falhas: contas locais, bootstrap único, sessões, tokens e adapter OIDC",STORY-0037/STORY-0038,REQ-EPIC-076/REQ-INS-002,STORY-0039-ISSUE-0149-validar-ameacas-autorizacao-e-falhas-contas-locais-bootstrap-unico-sessoes.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-030/ADR-031/ADR-032/ADR-034,MIXED,AC-ISSUE-0149-01/AC-ISSUE-0149-02/AC-ISSUE-0149-03/AC-ISSUE-0149-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0040,ISSUE-0150,TASK-0040,EPIC-008,SPRINT-002,PLT,BC-002,Identidade e Controle de Acesso,Story,planned,Reviewer,"Executar QA e auditoria final: contas locais, bootstrap único, sessões, tokens e adapter OIDC",STORY-0039,,STORY-0040-ISSUE-0150-executar-qa-e-auditoria-final-contas-locais-bootstrap-unico-sessoes-tokens.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008,DERIVED_CONTROL,AC-ISSUE-0150-01/AC-ISSUE-0150-02/AC-ISSUE-0150-03/AC-ISSUE-0150-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0041,ISSUE-0151,TASK-0041,EPIC-009,SPRINT-002,PLT,BC-002,Identidade e Controle de Acesso,Story,planned,Arquiteto,"Definir política, estados e contratos: usuários e papéis da instância",STORY-0040/STORY-0025,REQ-AUTH-IMPL-007,STORY-0041-ISSUE-0151-definir-politica-estados-e-contratos-usuarios-e-papeis-da-instancia.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014/ADR-016/ADR-031,MIXED,AC-ISSUE-0151-01/AC-ISSUE-0151-02/AC-ISSUE-0151-03/AC-ISSUE-0151-04,PASS,PASS,PASS,PASS,CRITICAL
