epic_id,domain,bounded_context,bounded_context_name,title,sprint,owner_role,issue_id,dependencies,gate,file
EPIC-016,JOB,BC-010,Orquestração de Jobs e Recursos,"retries, redelivery, cancelamento, retomada e idempotência",SPRINT-003,Backend,ISSUE-0016,EPIC-015,G1/G4,EPIC-016-retries-redelivery-cancelamento-retomada-e-idempotencia.md
EPIC-017,JOB,BC-010,Orquestração de Jobs e Recursos,"REST, SSE e polling de reconciliação com contratos versionados",SPRINT-003,Backend,ISSUE-0017,EPIC-014,G1/G7,EPIC-017-rest-sse-e-polling-de-reconciliacao-com-contratos-versionados.md
EPIC-018,JOB,BC-010,Orquestração de Jobs e Recursos,"batch hierárquico, chunking, backpressure, checkpoints e retomada para lotes usuais de 40–300 imagens",SPRINT-003,Backend,ISSUE-0018,EPIC-012;EPIC-015;EPIC-016,G1/G7,EPIC-018-batch-hierarquico-chunking-backpressure-checkpoints-e-retomada-para-lo.md
EPIC-019,JOB,BC-010,Orquestração de Jobs e Recursos,"Resource Governor, admission control e orçamento adaptativo de RAM/CPU/GPU/disco",SPRINT-003,Backend,ISSUE-0019,EPIC-018,G1/G7,EPIC-019-resource-governor-admission-control-e-orcamento-adaptativo-de-ram-cpu-.md
EPIC-020,CLI,BC-016,Experiência e Orientação do Operador,"CLI estável para projetos, ingestão, jobs e resultados",SPRINT-003,Backend,ISSUE-0020,EPIC-012;EPIC-015,G1,EPIC-020-cli-estavel-para-projetos-ingestao-jobs-e-resultados.md
EPIC-021,GEO,BC-007,Verificação Geométrica e Qualidade,corpus versionado com décadas e condições distintas,SPRINT-005,Geoprocessamento,ISSUE-0021,EPIC-006,G4,EPIC-021-corpus-versionado-com-decadas-e-condicoes-distintas.md
EPIC-022,GEO,BC-005,Descoberta e Aquisição de Referências,busca provável greenfield validada,SPRINT-005,Geoprocessamento,ISSUE-0022,EPIC-021,G4,EPIC-022-busca-provavel-greenfield-validada.md
EPIC-023,GEO,BC-006,Georreferenciamento,correspondências e estimação robusta da homografia projetiva validadas,SPRINT-005,Geoprocessamento,ISSUE-0023,EPIC-021,G4,EPIC-023-correspondencias-e-estimacao-robusta-da-homografia-projetiva-validadas.md
EPIC-024,GEO,BC-007,Verificação Geométrica e Qualidade,"Strong Geometric Verifier fail-closed para homografia projetiva, QualityProfiles e Image Deformation Profile",SPRINT-005,Geoprocessamento,ISSUE-0024,EPIC-022;EPIC-023,G4,EPIC-024-strong-geometric-verifier-fail-closed-para-homografia-projetiva-qualit.md
EPIC-025,GEO,BC-007,Verificação Geométrica e Qualidade,"registry, calibração, benchmark e lifecycle de QualityProfiles oficiais/customizados",SPRINT-005,Geoprocessamento,ISSUE-0025,EPIC-021;EPIC-024,G4,EPIC-025-registry-calibracao-benchmark-e-lifecycle-de-qualityprofiles-oficiais-.md
EPIC-026,GEO,BC-013,"Artifacts, Proveniência e Lifecycle",artefatos e lineage,SPRINT-005,Geoprocessamento,ISSUE-0026,EPIC-012;EPIC-024,G3/G4,EPIC-026-artefatos-e-lineage.md
EPIC-027,GEO,BC-005,Descoberta e Aquisição de Referências,"gateway de fontes, proteção SSRF, estados de disponibilidade e bloqueio de compra",SPRINT-005,Geoprocessamento,ISSUE-0027,EPIC-005;EPIC-041,G5/G4,EPIC-027-gateway-de-fontes-protecao-ssrf-estados-de-disponibilidade-e-bloqueio-.md
EPIC-028,GEO,BC-007,Verificação Geométrica e Qualidade,"benchmarks por período, sensor e perfil de qualidade",SPRINT-005,Geoprocessamento,ISSUE-0028,EPIC-024,G4/G7,EPIC-028-benchmarks-por-periodo-sensor-e-perfil-de-qualidade.md
EPIC-029,GEO,BC-004,Plano de Processamento e Workflow,etapas/capacidades canônicas e ProcessingPlan reproduzível,SPRINT-005,Geoprocessamento,ISSUE-0029,EPIC-004;EPIC-006;EPIC-021,G1/G4,EPIC-029-etapas-capacidades-canonicas-e-processingplan-reproduzivel.md
EPIC-030,GEO,BC-012,"Resultados, Diagnósticos e Exportação","taxonomia versionada de falhas, evidências, remediações seguras e contratos de resultado por imagem",SPRINT-005,Geoprocessamento,ISSUE-0030,EPIC-004;EPIC-024,G4/G7,EPIC-030-taxonomia-versionada-de-falhas-evidencias-remediacoes-seguras-e-contra.md
EPIC-031,WEB,BC-016,Experiência e Orientação do Operador,"React/TypeScript/Vite, design system, cliente OpenAPI, seletor visual, acessibilidade e E2E",SPRINT-009,Frontend,ISSUE-0031,EPIC-004;EPIC-011;EPIC-017,G2/G7,EPIC-031-react-typescript-vite-design-system-cliente-openapi-seletor-visual-ace.md
EPIC-032,WEB,BC-016,Experiência e Orientação do Operador,"workspace OpenLayers, configuração, acompanhamento e revisão",SPRINT-009,Frontend,ISSUE-0032,EPIC-024;EPIC-031,G4/G7,EPIC-032-workspace-openlayers-configuracao-acompanhamento-e-revisao.md
EPIC-033,WEB,BC-016,Experiência e Orientação do Operador,"assistente guiado, recomendação explicável, consentimentos e modo avançado",SPRINT-009,Frontend,ISSUE-0033,EPIC-029;EPIC-031;EPIC-059,G4/G7,EPIC-033-assistente-guiado-recomendacao-explicavel-consentimentos-e-modo-avanca.md
EPIC-034,WEB,BC-016,Experiência e Orientação do Operador,"painel de qualidade do lote, busca server-side, filtros salvos, triagem, deformação e retry/revisão de subconjuntos",SPRINT-009,Frontend,ISSUE-0034,EPIC-018;EPIC-030;EPIC-032;EPIC-057;EPIC-069,G4/G7,EPIC-034-painel-de-qualidade-do-lote-busca-server-side-filtros-salvos-triagem-d.md
EPIC-035,REV,BC-011,Revisão e Correção,"workflow de revisão com gates revisáveis, hard gates imutáveis, checklist e auditoria",SPRINT-009,Frontend,ISSUE-0035,EPIC-010;EPIC-025;EPIC-034,G4/G5/G7,EPIC-035-workflow-de-revisao-com-gates-revisaveis-hard-gates-imutaveis-checklis.md
EPIC-036,EDU,BC-016,Experiência e Orientação do Operador,"central Aprender, exemplos visuais, projeto demonstrativo e ajuda contextual, incluindo Strong Geometric Verifier e interpretação de falhas",SPRINT-009,Product Owner,ISSUE-0036,EPIC-030;EPIC-031;EPIC-033,G7,EPIC-036-central-aprender-exemplos-visuais-projeto-demonstrativo-e-ajuda-contex.md
EPIC-037,REP,BC-012,"Resultados, Diagnósticos e Exportação","persistência e exportação escalável de resultados por imagem/lote, geometrias, manifestos e checksums",SPRINT-010,Backend,ISSUE-0037,EPIC-012;EPIC-026;EPIC-030;EPIC-063,G3/G4/G7,EPIC-037-persistencia-e-exportacao-escalavel-de-resultados-por-imagem-lote-geom.md
EPIC-038,REP,BC-007,Verificação Geométrica e Qualidade,"métricas, heatmap amostrado e diagnóstico denso do Image Deformation Profile",SPRINT-010,Backend,ISSUE-0038,EPIC-024;EPIC-037,G4/G7,EPIC-038-metricas-heatmap-amostrado-e-diagnostico-denso-do-image-deformation-pr.md
EPIC-039,OPS,BC-014,"Operações, Auditoria e Suporte","instrumentação OpenTelemetry, correlation IDs, métricas, dashboards e alertas para API, RabbitMQ e workers",SPRINT-011,DevOps,ISSUE-0039,EPIC-005;EPIC-015;EPIC-019;EPIC-067;EPIC-082,G7,EPIC-039-instrumentacao-opentelemetry-correlation-ids-metricas-dashboards-e-ale.md
EPIC-040,OPS,BC-014,"Operações, Auditoria e Suporte","benchmark, limites e orçamento de recursos",SPRINT-011,DevOps,ISSUE-0040,EPIC-024;EPIC-039;EPIC-068;EPIC-069,G7,EPIC-040-benchmark-limites-e-orcamento-de-recursos.md
EPIC-041,SEC,BC-014,"Operações, Auditoria e Suporte","threat model validado, scanning e testes ofensivos",SPRINT-002,Security,ISSUE-0041,EPIC-012,G5,EPIC-041-threat-model-validado-scanning-e-testes-ofensivos.md
EPIC-042,PUB,BC-015,"Release, Instalação e Supply Chain","licença, citação, sanitização e revisão externa concluídas",SPRINT-012,Reviewer,ISSUE-0042,,G6,EPIC-042-licenca-citacao-sanitizacao-e-revisao-externa-concluidas.md
EPIC-043,REL,BC-015,"Release, Instalação e Supply Chain",release documentada com rollback e suporte,SPRINT-012,DevOps,ISSUE-0043,,G7,EPIC-043-release-documentada-com-rollback-e-suporte.md
EPIC-044,GEO,BC-006,Georreferenciamento,"OutputProfile, COG canônico, preservação de resolução e validação da grade",SPRINT-005,Geoprocessamento,ISSUE-0044,EPIC-012;EPIC-024,G3/G4,EPIC-044-outputprofile-cog-canonico-preservacao-de-resolucao-e-validacao-da-gra.md
EPIC-045,GEO,BC-006,Georreferenciamento,"máscara analítica adaptativa, preview/correção, área útil separada da saída e preservação de metadados marginais",SPRINT-005,Geoprocessamento,ISSUE-0045,EPIC-021;EPIC-023;EPIC-044,G4,EPIC-045-mascara-analitica-adaptativa-preview-correcao-area-util-separada-da-sa.md
EPIC-046,GEO,BC-013,"Artifacts, Proveniência e Lifecycle","ArtifactSet imutável, staging e publicação atômica",SPRINT-005,Geoprocessamento,ISSUE-0046,EPIC-012;EPIC-026;EPIC-044,G3/G4,EPIC-046-artifactset-imutavel-staging-e-publicacao-atomica.md
EPIC-047,GEO,BC-006,Georreferenciamento,"matching coarse-to-fine, tiles, reconciliação de coordenadas e refinamento em resolução adequada",SPRINT-005,Geoprocessamento,ISSUE-0047,EPIC-019;EPIC-021;EPIC-023,G4/G7,EPIC-047-matching-coarse-to-fine-tiles-reconciliacao-de-coordenadas-e-refinamen.md
EPIC-048,GEO,BC-006,Georreferenciamento,"extração opcional de metadados marginais com confiança, revisão e lineage",SPRINT-005,Geoprocessamento,ISSUE-0048,EPIC-012;EPIC-045,G4/G7,EPIC-048-extracao-opcional-de-metadados-marginais-com-confianca-revisao-e-linea.md
EPIC-049,DAT,BC-013,"Artifacts, Proveniência e Lifecycle","lineage normalizado, manifestos e bundle de reprodução sob demanda",SPRINT-010,Backend,ISSUE-0049,EPIC-004;EPIC-012;EPIC-046;EPIC-062;EPIC-063;EPIC-066,G3/G6,EPIC-049-lineage-normalizado-manifestos-e-bundle-de-reproducao-sob-demanda.md
EPIC-050,GEO,BC-009,Recuperação Assistida por IA e Governança de Modelos,"registry de matchers clássicos/IA, escalonamento explicável, licenças, manifests e benchmark",SPRINT-006,Geoprocessamento,ISSUE-0050,EPIC-004;EPIC-021;EPIC-047,G4/G5,EPIC-050-registry-de-matchers-classicos-ia-escalonamento-explicavel-licencas-ma.md
EPIC-051,GEO,BC-006,Georreferenciamento,"estimadores USAC_MAGSAC/RANSAC explícitos, calibração, proveniência e testes de compatibilidade",SPRINT-006,Geoprocessamento,ISSUE-0051,EPIC-021;EPIC-023;EPIC-025,G4,EPIC-051-estimadores-usac-magsac-ransac-explicitos-calibracao-proveniencia-e-te.md
EPIC-052,GEO,BC-006,Georreferenciamento,"seleção de GCPs por cobertura/qualidade/diversidade, exportando pontos usados e descartados",SPRINT-006,Geoprocessamento,ISSUE-0052,EPIC-023;EPIC-045;EPIC-051,G4,EPIC-052-selecao-de-gcps-por-cobertura-qualidade-diversidade-exportando-pontos-.md
EPIC-053,GEO,BC-005,Descoberta e Aquisição de Referências,"grafo de referências verificadas, componentes desconectados, invalidação e retry por componente",SPRINT-006,Geoprocessamento,ISSUE-0053,EPIC-022;EPIC-023;EPIC-024;EPIC-052,G4/G7,EPIC-053-grafo-de-referencias-verificadas-componentes-desconectados-invalidacao.md
EPIC-054,GEO,BC-005,Descoberta e Aquisição de Referências,"componentes provisórios multimodais, scores versionados, preview e correção sem equivalência com prova geométrica",SPRINT-006,Geoprocessamento,ISSUE-0054,EPIC-012;EPIC-021;EPIC-053,G4/G7,EPIC-054-componentes-provisorios-multimodais-scores-versionados-preview-e-corre.md
EPIC-055,GEO,BC-005,Descoberta e Aquisição de Referências,"recuperação progressiva de vizinhos com candidate budget, telemetria de recall e retry ampliado explícito",SPRINT-006,Geoprocessamento,ISSUE-0055,EPIC-019;EPIC-047;EPIC-050;EPIC-054,G4/G7,EPIC-055-recuperacao-progressiva-de-vizinhos-com-candidate-budget-telemetria-de.md
EPIC-056,GEO,BC-005,Descoberta e Aquisição de Referências,"máquina de estados de arestas, evidência direta, lineage e SGV independente da imagem dependente",SPRINT-006,Geoprocessamento,ISSUE-0056,EPIC-023;EPIC-024;EPIC-052;EPIC-053,G4,EPIC-056-maquina-de-estados-de-arestas-evidencia-direta-lineage-e-sgv-independe.md
EPIC-057,GEO,BC-012,"Resultados, Diagnósticos e Exportação","resultados por componente, sucesso parcial explícito, retry por subconjunto e UX de componentes não resolvidos",SPRINT-006,Geoprocessamento,ISSUE-0057,EPIC-030;EPIC-053;EPIC-056,G4/G7,EPIC-057-resultados-por-componente-sucesso-parcial-explicito-retry-por-subconju.md
EPIC-058,GEO,BC-005,Descoberta e Aquisição de Referências,"gateway por capacidades, adapters STAC/API oficial, testes de contrato, allowlist, SSRF/egress e estados de licença/disponibilidade",SPRINT-006,Geoprocessamento,ISSUE-0058,EPIC-004;EPIC-027;EPIC-041,G4/G5,EPIC-058-gateway-por-capacidades-adapters-stac-api-oficial-testes-de-contrato-a.md
EPIC-059,GEO,BC-005,Descoberta e Aquisição de Referências,"busca espaciotemporal guiada, ranking explicável, incerteza e expansão limitada por orçamento",SPRINT-006,Geoprocessamento,ISSUE-0059,EPIC-022;EPIC-058,G4/G7,EPIC-059-busca-espaciotemporal-guiada-ranking-explicavel-incerteza-e-expansao-l.md
EPIC-060,GEO,BC-005,Descoberta e Aquisição de Referências,"policy de aquisição no ProcessingPlan, preview, consentimento e bloqueio fail-closed de ativos pagos/ambíguos",SPRINT-006,Geoprocessamento,ISSUE-0060,EPIC-029;EPIC-058;EPIC-059,G4/G5/G7,EPIC-060-policy-de-aquisicao-no-processingplan-preview-consentimento-e-bloqueio.md
EPIC-061,DAT,BC-013,"Artifacts, Proveniência e Lifecycle","cache endereçado por conteúdo, deduplicação, quotas, retention, licença, GC e proteção de lineage",SPRINT-010,Backend,ISSUE-0061,EPIC-012;EPIC-049;EPIC-058,G3/G5/G7,EPIC-061-cache-enderecado-por-conteudo-deduplicacao-quotas-retention-licenca-gc.md
EPIC-062,REV,BC-011,Revisão e Correção,"workspace visual assistido, CorrectionSets, nova tentativa, comparação e auditoria sem bloquear o ciclo automático",SPRINT-009,Frontend,ISSUE-0062,EPIC-024;EPIC-032;EPIC-034;EPIC-035,G4/G5/G7,EPIC-062-workspace-visual-assistido-correctionsets-nova-tentativa-comparacao-e-.md
EPIC-063,GEO,BC-011,Revisão e Correção,"modelo tipado/versionado de GCPs, lifecycle, proveniência e round-trip dos exports",SPRINT-006,Geoprocessamento,ISSUE-0063,EPIC-012;EPIC-052,G3/G4/G6,EPIC-063-modelo-tipado-versionado-de-gcps-lifecycle-proveniencia-e-round-trip-d.md
EPIC-064,WEB,BC-011,Revisão e Correção,"fila de revisão explicável, filtros, priorização, impacto em descendentes e operações em lote permitidas",SPRINT-009,Frontend,ISSUE-0064,EPIC-030;EPIC-034;EPIC-053;EPIC-062,G4/G7,EPIC-064-fila-de-revisao-explicavel-filtros-priorizacao-impacto-em-descendentes.md
EPIC-065,JOB,BC-010,Orquestração de Jobs e Recursos,"taxonomia de retry técnico, orçamento, backoff, idempotência e PlanVariants algorítmicos",SPRINT-004,Backend,ISSUE-0065,EPIC-014;EPIC-015,G1/G4/G7,EPIC-065-taxonomia-de-retry-tecnico-orcamento-backoff-idempotencia-e-planvarian.md
EPIC-066,JOB,BC-010,Orquestração de Jobs e Recursos,"checkpoints canônicos, manifests de compatibilidade, retomada e lifecycle de intermediários",SPRINT-004,Backend,ISSUE-0066,EPIC-018,G1/G3/G7,EPIC-066-checkpoints-canonicos-manifests-de-compatibilidade-retomada-e-lifecycl.md
EPIC-067,JOB,BC-010,Orquestração de Jobs e Recursos,"cancelamento cooperativo, supervisão de subprocessos, contenção e reconciliação",SPRINT-004,Backend,ISSUE-0067,EPIC-016;EPIC-019,G1/G7,EPIC-067-cancelamento-cooperativo-supervisao-de-subprocessos-contencao-e-reconc.md
EPIC-068,JOB,BC-010,Orquestração de Jobs e Recursos,"Concorrência, escalonamento e isolamento",SPRINT-004,Backend,ISSUE-0068,EPIC-018;EPIC-019;EPIC-082,G1/G7,EPIC-068-concorrencia-escalonamento-e-isolamento.md
EPIC-069,JOB,BC-010,Orquestração de Jobs e Recursos,"Observabilidade, SLOs e diagnóstico do scheduler",SPRINT-004,Backend,ISSUE-0069,EPIC-068,G7,EPIC-069-observabilidade-slos-e-diagnostico-do-scheduler.md
EPIC-070,REP,BC-012,"Resultados, Diagnósticos e Exportação","snapshots imutáveis, regra de resultado vigente e comparação entre ciclos",SPRINT-010,Backend,ISSUE-0070,EPIC-037;EPIC-049;EPIC-062,G3/G4/G7,EPIC-070-snapshots-imutaveis-regra-de-resultado-vigente-e-comparacao-entre-cicl.md
EPIC-071,DAT,BC-013,"Artifacts, Proveniência e Lifecycle","BackupSet coordenado, manifests, checksums, watermark e policies de inclusão",SPRINT-011,Backend,ISSUE-0071,EPIC-012;EPIC-049,G3/G7,EPIC-071-backupset-coordenado-manifests-checksums-watermark-e-policies-de-inclu.md
EPIC-072,OPS,BC-014,"Operações, Auditoria e Suporte","restore drills isolados, evidências, RPO/RTO e runbook executável",SPRINT-011,DevOps,ISSUE-0072,EPIC-039;EPIC-071,G7,EPIC-072-restore-drills-isolados-evidencias-rpo-rto-e-runbook-executavel.md
EPIC-073,DAT,BC-013,"Artifacts, Proveniência e Lifecycle","RetentionPolicy por classe/estado/dependência, holds e preview de impacto",SPRINT-011,Backend,ISSUE-0073,EPIC-049;EPIC-061,G3/G5,EPIC-073-retentionpolicy-por-classe-estado-dependencia-holds-e-preview-de-impac.md
EPIC-074,DAT,BC-013,"Artifacts, Proveniência e Lifecycle","GC reference-aware, tombstone, quarentena, período de graça e reconciliação",SPRINT-011,Backend,ISSUE-0074,EPIC-049;EPIC-073,G3/G5/G7,EPIC-074-gc-reference-aware-tombstone-quarentena-periodo-de-graca-e-reconciliac.md
EPIC-075,OPS,BC-014,"Operações, Auditoria e Suporte","canal append-only de auditoria, particionamento, digests, consulta e exportação assinada opcional",SPRINT-011,DevOps,ISSUE-0075,EPIC-011;EPIC-049;EPIC-069,G2/G5/G7,EPIC-075-canal-append-only-de-auditoria-particionamento-digests-consulta-e-expo.md
EPIC-076,SEC,BC-014,"Operações, Auditoria e Suporte","catálogo de campos, redaction centralizada, testes de vazamento e bundles de suporte sanitizados",SPRINT-011,Security,ISSUE-0076,EPIC-005;EPIC-039;EPIC-075,G5/G7,EPIC-076-catalogo-de-campos-redaction-centralizada-testes-de-vazamento-e-bundle.md
EPIC-077,OPS,BC-014,"Operações, Auditoria e Suporte","budgets de cardinalidade, sampling, retenção por sinal e dashboards de perda/overhead",SPRINT-011,DevOps,ISSUE-0077,EPIC-039;EPIC-073,G7,EPIC-077-budgets-de-cardinalidade-sampling-retencao-por-sinal-e-dashboards-de-p.md
EPIC-078,SEC,BC-014,"Operações, Auditoria e Suporte","contrato de secrets, setup, permissões, rotação, recuperação e adapters opcionais de vault",SPRINT-011,Security,ISSUE-0078,EPIC-005;EPIC-008,G5/G7,EPIC-078-contrato-de-secrets-setup-permissoes-rotacao-recuperacao-e-adapters-op.md
EPIC-079,OPS,BC-014,"Operações, Auditoria e Suporte","ingress único, TLS, redes privadas, limites e testes de exposição de portas",SPRINT-011,DevOps,ISSUE-0079,EPIC-003;EPIC-008;EPIC-078,G5/G7,EPIC-079-ingress-unico-tls-redes-privadas-limites-e-testes-de-exposicao-de-port.md
EPIC-080,SEC,BC-015,"Release, Instalação e Supply Chain","lockfiles, pins por digest/SHA, scanners, SBOM, assinatura OCI, attestations e verificador de release",SPRINT-011,Security,ISSUE-0080,EPIC-002;EPIC-005,G5/G6/G7,EPIC-080-lockfiles-pins-por-digest-sha-scanners-sbom-assinatura-oci-attestation.md
EPIC-081,REL,BC-015,"Release, Instalação e Supply Chain","orquestrador de upgrade, preflight, migrations explícitas, health/smoke tests e rollback/restore",SPRINT-012,DevOps,ISSUE-0081,EPIC-043;EPIC-071;EPIC-072;EPIC-080,G7,EPIC-081-orquestrador-de-upgrade-preflight-migrations-explicitas-health-smoke-t.md
EPIC-082,PLT,BC-014,"Operações, Auditoria e Suporte",preflight de hardware e ExecutionProfiles CPU/GPU/híbrido integrados ao Resource Governor,SPRINT-002,Backend,ISSUE-0082,EPIC-010,G1/G4/G7,EPIC-082-preflight-de-hardware-e-executionprofiles-cpu-gpu-hibrido-integrados-a.md
EPIC-083,OPS,BC-014,"Operações, Auditoria e Suporte","modos offline/restricted/connected, egress enforcement, mirrors e testes air-gapped",SPRINT-011,DevOps,ISSUE-0083,EPIC-058;EPIC-079;EPIC-080,G5/G7,EPIC-083-modos-offline-restricted-connected-egress-enforcement-mirrors-e-testes.md
EPIC-084,WEB,BC-016,Experiência e Orientação do Operador,"UX guiada de IA, explicação do plano, capacidades instaladas/bloqueadas e laboratório separado",SPRINT-009,Frontend,ISSUE-0084,EPIC-029;EPIC-033;EPIC-050,G4/G7,EPIC-084-ux-guiada-de-ia-explicacao-do-plano-capacidades-instaladas-bloqueadas-.md
EPIC-085,REL,BC-015,"Release, Instalação e Supply Chain","definição e automação de milestones internal/alpha/beta/1.0, evidências e gate de abertura do repositório",SPRINT-012,DevOps,ISSUE-0085,EPIC-002;EPIC-042;EPIC-043,G6/G7,EPIC-085-definicao-e-automacao-de-milestones-internal-alpha-beta-1-0-evidencias.md
EPIC-086,FND,BC-001,Governança de Engenharia e Entrega,"walking skeleton frontend→API→PostgreSQL→RabbitMQ/Celery→worker→artefato diagnóstico, executável e testado ponta a ponta",SPRINT-001,Tech Lead,ISSUE-0086,EPIC-002;EPIC-003;EPIC-004;EPIC-005,G1,EPIC-086-walking-skeleton-frontendapipostgresqlrabbitmq-celeryworkerartefato-di.md
EPIC-087,REL,BC-015,"Release, Instalação e Supply Chain",baseline operacional vertical privado com escopo da DELIVERY_PLAN e evidências do corpus controlado,SPRINT-012,DevOps,ISSUE-0087,EPIC-012;EPIC-018;EPIC-024;EPIC-034;EPIC-037;EPIC-044;EPIC-086,G1/G3/G4/G7,EPIC-087-baseline-operacional-vertical-privado-com-escopo-da-delivery-plan-e-ev.md
EPIC-088,LAB,BC-009,Recuperação Assistida por IA e Governança de Modelos,"namespace experimental/labs, registry separado, ModelPacks isolados e bloqueio técnico de ArtifactSet aceito",SPRINT-011,IA,ISSUE-0088,EPIC-046;EPIC-050;EPIC-080,G4/G5,EPIC-088-namespace-experimental-labs-registry-separado-modelpacks-isolados-e-bl.md
EPIC-089,REL,BC-015,"Release, Instalação e Supply Chain","release train internal/alpha/beta/1.0, automação de evidências e gate de abertura pública",SPRINT-012,DevOps,ISSUE-0089,EPIC-042;EPIC-072;EPIC-080;EPIC-085;EPIC-087,G6/G7,EPIC-089-release-train-internal-alpha-beta-1-0-automacao-de-evidencias-e-gate-d.md
EPIC-090,FND,BC-001,Governança de Engenharia e Entrega,"Issue Forms, templates e taxonomia de tipos com validação de campos obrigatórios",SPRINT-001,Tech Lead,ISSUE-0090,EPIC-002,G0/G1,EPIC-090-issue-forms-templates-e-taxonomia-de-tipos-com-validacao-de-campos-obr.md
EPIC-091,FND,BC-001,Governança de Engenharia e Entrega,"ruleset de main, checks únicos, CODEOWNERS, política de branches e prova de bypass auditado",SPRINT-001,Tech Lead,ISSUE-0091,EPIC-002;EPIC-005,G0/G1/G5,EPIC-091-ruleset-de-main-checks-unicos-codeowners-politica-de-branches-e-prova-.md
EPIC-092,FND,BC-001,Governança de Engenharia e Entrega,fechamento da SPRINT-001 e autorização da primeira fatia funcional,SPRINT-001,Tech Lead,ISSUE-0092,EPIC-002;EPIC-003;EPIC-004;EPIC-005;EPIC-086,G1,EPIC-092-fechamento-da-sprint-001-e-autorizacao-da-primeira-fatia-funcional.md
